"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Regulation Of Trans-Synaptic Signaling (GO:0099177)","5/36",9.41694230230355e-07,0.000607392778498579,0,0,33.7334465195246,468.071311656587,"NLGN1;NRG3;CACNA1A;GRIK2;LRRC4C","GO_Biological_Process_2023","blue"
"Modulation Of Chemical Synaptic Transmission (GO:0050804)","7/123",2.79372856939386e-06,0.000900977463629521,0,0,12.8372265480163,164.16416621781,"RIMS2;NLGN1;NRG3;CACNA1A;DLGAP1;GRIK2;LRRC4C","GO_Biological_Process_2023","blue"
"Regulation Of Cation Channel Activity (GO:2001257)","5/56",8.81607858139053e-06,0.00173659471672454,0,0,20.484004127967,238.411959648834,"CACNB4;FGF14;PDE4D;CACNA1A;DMD","GO_Biological_Process_2023","blue"
"Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385)","4/29",1.26933951089874e-05,0.00173659471672454,0,0,33.125,373.465453004315,"CACNB4;PDE4B;CACNA1A;DMD","GO_Biological_Process_2023","blue"
"Positive Regulation Of Cell Junction Assembly (GO:1901890)","5/61",1.34619745482523e-05,0.00173659471672454,0,0,18.6503759398496,209.175931258407,"CNTNAP2;NLGN1;CUX2;IL1RAPL1;NRG1","GO_Biological_Process_2023","blue"
"Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019)","4/32",1.89985082322592e-05,0.00204233963496786,0,0,29.5714285714286,321.47543855231,"CACNB4;PDE4D;CACNA1A;DMD","GO_Biological_Process_2023","blue"
"Positive Regulation Of Cell Projection Organization (GO:0031346)","6/118",2.81637825402125e-05,0.00259509139120529,0,0,11.2773556231003,118.158197087931,"ROBO2;NLGN1;CUX2;LRRC7;MAGI2;IL1RAPL1","GO_Biological_Process_2023","blue"
"Regulation Of Synapse Assembly (GO:0051963)","4/51",0.000122761948530784,0.00989768210029448,0,0,17.6001773049645,158.494233497427,"ROBO2;NLGN1;CUX2;IL1RAPL1","GO_Biological_Process_2023","blue"
"Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)","3/22",0.000174309995477304,0.0112429947082861,0,0,32.3619099294628,280.081821254999,"PDE4D;DMD;CACNA1C","GO_Biological_Process_2023","blue"
"Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)","3/22",0.000174309995477304,0.0112429947082861,0,0,32.3619099294628,280.081821254999,"RIMS2;NLGN1;CUX2","GO_Biological_Process_2023","blue"
"Regulation Of Neuron Projection Development (GO:0010975)","6/174",0.000241201406819266,0.0121600942533877,0,0,7.49696048632219,62.4487681751743,"NLGN1;DCC;LRRC7;MAGI2;IL1RAPL1;LRRC4C","GO_Biological_Process_2023","blue"
"Negative Regulation Of Relaxation Of Muscle (GO:1901078)","2/5",0.000245087170998512,0.0121600942533877,0,0,135.353741496599,1125.31701267514,"PDE4D;PDE4B","GO_Biological_Process_2023","blue"
"Regulation Of Relaxation Of Cardiac Muscle (GO:1901897)","2/5",0.000245087170998512,0.0121600942533877,0,0,135.353741496599,1125.31701267514,"PDE4D;PDE4B","GO_Biological_Process_2023","blue"
"Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)","3/26",0.000290049387363004,0.0133629896320813,0,0,26.7283729269386,217.714875120753,"PDE4D;PDE4B;CACNA1C","GO_Biological_Process_2023","blue"
"Modulation Of Excitatory Postsynaptic Potential (GO:0098815)","3/31",0.000492443679830411,0.0194005672121374,0,0,21.9499263622975,167.173502753114,"RIMS2;NLGN1;CUX2","GO_Biological_Process_2023","blue"
"Anterograde Trans-Synaptic Signaling (GO:0098916)","6/199",0.000493790034487572,0.0194005672121374,0,0,6.51758350788226,49.6209713382103,"NLGN1;CACNB4;DLG2;CACNA1A;DLGAP1;GRIK2","GO_Biological_Process_2023","blue"
