"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Melanocyte Differentiation (GO:0030318)","2/11",0.0013218400851343,0.272913172084527,0,0,45.1043083900227,298.984305122014,"MEF2C;SLC24A5","GO_Biological_Process_2023","yellow"
"Positive Regulation Of Behavior (GO:0048520)","2/11",0.0013218400851343,0.272913172084527,0,0,45.1043083900227,298.984305122014,"MEF2C;SGIP1","GO_Biological_Process_2023","yellow"
"Calcium Ion Import (GO:0070509)","2/12",0.00158104510229119,0.272913172084527,0,0,40.5918367346939,261.803918893847,"CACNB2;SLC24A5","GO_Biological_Process_2023","yellow"
"Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562)","2/18",0.00359423711737408,0.272913172084527,0,0,25.3622448979592,142.749455625051,"MEF2C;AKT3","GO_Biological_Process_2023","yellow"
"Regulation Of Neurotransmitter Transport (GO:0051588)","2/21",0.00488538725831669,0.272913172084527,0,0,21.3544575725027,113.63788950908,"MEF2C;CASK","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Axonogenesis (GO:0050771)","2/22",0.00535649695773258,0.272913172084527,0,0,20.2857142857143,106.083028567318,"MAP2;RTN4","GO_Biological_Process_2023","yellow"
"Regulation Of Catabolic Process (GO:0009894)","2/22",0.00535649695773258,0.272913172084527,0,0,20.2857142857143,106.083028567318,"FAF1;UBE3A","GO_Biological_Process_2023","yellow"
"Axon Guidance (GO:0007411)","4/149",0.0066747485612657,0.272913172084527,0,0,5.67672413793103,28.4371166854251,"EPHA5;GAP43;NRXN1;UNC5C","GO_Biological_Process_2023","yellow"
"Neuron Development (GO:0048666)","4/150",0.00683178162196635,0.272913172084527,0,0,5.63755707762557,28.1098167729707,"EPHA5;GPM6A;MEF2C;MAP2","GO_Biological_Process_2023","yellow"
"Myotube Differentiation (GO:0014902)","2/25",0.00688907400282997,0.272913172084527,0,0,17.6370896184561,87.7942327571282,"MEF2C;ADGRB3","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Axon Extension (GO:0030517)","2/30",0.00982857782071015,0.272913172084527,0,0,14.4839650145773,66.9515638793864,"MAP2;RTN4","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Developmental Growth (GO:0048640)","2/31",0.0104724512850622,0.272913172084527,0,0,13.9838142153413,63.7523090878691,"MAP2;RTN4","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Cell-Matrix Adhesion (GO:0001953)","2/31",0.0104724512850622,0.272913172084527,0,0,13.9838142153413,63.7523090878691,"NEXMIF;CASK","GO_Biological_Process_2023","yellow"
"Regulation Of Axon Extension (GO:0030516)","2/35",0.0132279832722483,0.272913172084527,0,0,12.2863327149041,53.1435584472206,"MAP2;RTN4","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Endothelial Cell Migration (GO:0010596)","2/37",0.0147110875878219,0.272913172084527,0,0,11.5830903790087,48.8708399253876,"MEF2C;KRIT1","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)","2/37",0.0147110875878219,0.272913172084527,0,0,11.5830903790087,48.8708399253876,"MEF2C;KRIT1","GO_Biological_Process_2023","yellow"
"Regulation Of Neurotransmitter Secretion (GO:0046928)","2/38",0.0154783132235365,0.272913172084527,0,0,11.2607709750567,46.9384448645158,"MEF2C;CASK","GO_Biological_Process_2023","yellow"
"Membrane Fission (GO:0090148)","2/38",0.0154783132235365,0.272913172084527,0,0,11.2607709750567,46.9384448645158,"EXOC6B;EXOC4","GO_Biological_Process_2023","yellow"
"Negative Regulation Of Cell-Substrate Adhesion (GO:0010812)","2/39",0.0162624064321538,0.272913172084527,0,0,10.9558742415885,45.1261415257865,"NEXMIF;CASK","GO_Biological_Process_2023","yellow"
"Anterograde Trans-Synaptic Signaling (GO:0098916)","4/199",0.0177783315627962,0.272913172084527,0,0,4.21047008547009,16.9672466304178,"CACNB2;GLRB;NRXN1;EXOC4","GO_Biological_Process_2023","yellow"
"Stem Cell Differentiation (GO:0048863)","2/41",0.0178804597481127,0.272913172084527,0,0,10.3929879644165,41.8218699251635,"GPM6A;MEF2C","GO_Biological_Process_2023","yellow"
