"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","module"
0,-8.42688679630597,0.212,0.969,0,"brown"
3.7865562716356e-213,14.5488822244023,0.717,0.062,4.16521189879916e-212,"yellow"
1.63416943527967e-200,7.55304962529227,0.677,0.028,1.79758637880764e-199,"greenyellow"
3.63295131779825e-188,-3.06017915794676,0.274,0.861,3.99624644957808e-187,"green"
3.46793787695667e-120,-2.46986483881088,0.333,0.743,3.81473166465234e-119,"purple"
6.71166221367381e-88,6.31206919403333,0.607,0.219,7.38282843504119e-87,"pink"
7.99357440740448e-79,-1.92807560931992,0.439,0.764,8.79293184814493e-78,"magenta"
1.7784643415958e-21,7.71015096905221,0.146,0.345,1.95631077575538e-20,"blue"
8.77793036652945e-18,2.16806152962984,0.475,0.314,9.6557234031824e-17,"turquoise"
3.79423813218792e-13,1.36874897449,0.581,0.471,4.17366194540671e-12,"black"
0.248928589495413,-0.521489728125539,0.737,0.742,1,"red"
