"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.312190601310918,16.226655863047,0.958232630987021,6231.43326316527,6235.12380694665,6716.3168095566
2,0.0198922485828036,1.91617200051634,0.984510942520027,3228.33282323946,3212.94739664591,3834.65147632852
3,0.101182336942378,-2.9317098569007,0.898107731094946,1701.64056042086,1675.99564682139,2297.11821454878
4,0.483898979077065,-5.04505732292555,0.897643464427231,912.333505431893,885.080626100053,1432.13138900066
5,0.750580755196457,-5.47740377960969,0.950301322179468,497.640750842081,474.007149869249,926.263971752249
6,0.84118776287693,-4.99454756507768,0.968362760223365,276.294750531533,256.964036700727,619.631476804604
7,0.869067894223127,-4.49107634925592,0.972339012217116,156.260143502008,140.893349106782,427.459555556609
8,0.883249070243431,-4.00515328180939,0.977164705044784,90.1045193729813,78.0124023197935,303.21393845213
9,0.894127193739466,-3.59536311248076,0.979248655032255,53.0299859505792,43.7510186620982,220.524542869643
10,0.896892068678306,-3.27122167905733,0.980245597980664,31.8890900998307,24.6945365078806,163.997282094721
12,0.908907188597481,-2.7383216265328,0.985384732763213,12.3488992777666,8.08206443758625,96.0078137472774
14,0.907204748603524,-2.38623068797705,0.983271891999697,5.26245973323029,2.73652189481152,59.7811242154815
16,0.909899370162789,-2.10074332385679,0.983234793310476,2.46938680774113,0.959475895556636,39.0542790397981
18,0.918825458939861,-1.87811681674506,0.984263247750941,1.26919061263288,0.348471215629441,26.4942025224191
20,0.949421598532413,-1.68526198432028,0.991507746577519,0.707565680223397,0.129122859434175,18.5225045269679
22,0.95915332172336,-1.58115642110718,0.991286229244952,0.422941324921786,0.0495535410191428,13.8660823757528
24,0.951976852660407,-1.53406455780485,0.979400974288255,0.268057135042631,0.0191615872091544,11.0202959323305
26,0.948704226906359,-1.52766934911138,0.981760105372429,0.178432877188611,0.00761790627899295,9.78858275313926
28,0.906404089768118,-1.58078431618384,0.951813387907432,0.123796779033658,0.00308546680959854,9.18732627672897
30,0.921384318876707,-1.56331651860732,0.958963362567411,0.0889896843535745,0.00126397048614524,8.65740387885197
