"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Neuron Projection Guidance (GO:0097485)","8/124",2.00864290492563e-07,0.000203877254849951,0,0,14.8305847076462,228.697053317066,"SEMA5A;LGI1;NELL1;RPS6KA5;DCC;CNTN1;NRXN3;SLIT2","GO_Biological_Process_2023","pink"
"Axon Guidance (GO:0007411)","8/149",8.19718936058077e-07,0.000416007360049474,0,0,12.1856305889608,170.773135360306,"SEMA5A;LGI1;NELL1;RPS6KA5;DCC;CNTN1;NRXN3;SLIT2","GO_Biological_Process_2023","pink"
"Synapse Assembly (GO:0007416)","6/71",1.47877845473108e-06,0.000500320043850683,0,0,19.4779050736498,261.477127707438,"KIRREL3;GABRB2;SDK1;FLRT3;ZDHHC2;GABRG2","GO_Biological_Process_2023","pink"
"Synapse Organization (GO:0050808)","7/131",4.24921909876622e-06,0.000948604384398634,0,0,12.0041623309053,148.476786936358,"KIRREL3;UNC13B;SDK1;FLRT3;LRRC4C;ZDHHC2;SNCA","GO_Biological_Process_2023","pink"
"Axonogenesis (GO:0007409)","8/188",4.67292800196372e-06,0.000948604384398634,0,0,9.52657004830918,116.926498123507,"SEMA5A;LGI1;NELL1;RPS6KA5;DCC;CNTN1;NRXN3;SLIT2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045)","3/13",3.34476846171919e-05,0.00565823331440829,0,0,61.5154639175258,633.949335404614,"TGFBR3;MEF2C;ERBB4","GO_Biological_Process_2023","pink"
"Nervous System Development (GO:0007399)","10/433",6.21835890958704e-05,0.00772500572285531,0,0,5.11610191752036,49.551592937937,"SEMA5A;KIRREL3;LGI1;SDK1;TENM1;NELL1;MEF2C;FLRT3;ERBB4;ZDHHC2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023)","3/16",6.4781775896681e-05,0.00772500572285531,0,0,47.3124504361618,456.304276754387,"TGFBR3;MEF2C;ERBB4","GO_Biological_Process_2023","pink"
"Neural Crest Cell Development (GO:0014032)","4/44",6.84975876903426e-05,0.00772500572285531,0,0,20.6875,198.366480110604,"SEMA5A;NELL1;FAM172A;ERBB4","GO_Biological_Process_2023","pink"
"Protein Localization To Cell Periphery (GO:1990778)","6/142",7.94123629871094e-05,0.00806035484319161,0,0,9.27596996245307,87.5731012832622,"DPP6;DLG1;KCNB2;LIN7A;ZDHHC2;RAPGEF6","GO_Biological_Process_2023","pink"
"Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043)","3/20",0.00012997496316054,0.0119931443279953,0,0,36.1728320194057,323.680603886026,"TGFBR3;MEF2C;ERBB4","GO_Biological_Process_2023","pink"
"Axon Extension (GO:0048675)","3/23",0.000199730291389037,0.0155477174102181,0,0,30.7422680412371,261.879321300189,"SEMA5A;NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Heart Development (GO:0007507)","6/171",0.000219588201344477,0.0155477174102181,0,0,7.63442940038685,64.3105748785854,"TGFBR3;MEF2C;FLRT3;ERBB4;PCSK5;SGCZ","GO_Biological_Process_2023","pink"
"Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)","6/172",0.000226615472094533,0.0155477174102181,0,0,7.58805434503973,63.6808940923706,"KIRREL3;SDK1;TENM1;CADM1;FLRT3;LRRC4C","GO_Biological_Process_2023","pink"
"Regulation Of Retinal Ganglion Cell Axon Guidance (GO:0090259)","2/5",0.000245087170998512,0.0155477174102181,0,0,135.353741496599,1125.31701267514,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Retinal Ganglion Cell Axon Guidance (GO:0031290)","2/5",0.000245087170998512,0.0155477174102181,0,0,135.353741496599,1125.31701267514,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Neuron Projection Extension Involved In Neuron Projection Guidance (GO:1902284)","2/6",0.000366432168048497,0.0195751921352223,0,0,101.510204081633,803.117990717184,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Axon Extension Involved In Axon Guidance (GO:0048846)","2/6",0.000366432168048497,0.0195751921352223,0,0,101.510204081633,803.117990717184,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Cellular Response To Histamine (GO:0071420)","2/6",0.000366432168048497,0.0195751921352223,0,0,101.510204081633,803.117990717184,"GABRB2;GABRG2","GO_Biological_Process_2023","pink"
"Protein Localization To Membrane (GO:0072657)","6/192",0.000408486020837331,0.0207306655574945,0,0,6.76527110501029,52.7897680782237,"DPP6;DLG1;KCNB2;LIN7A;ZDHHC2;RAPGEF6","GO_Biological_Process_2023","pink"
"Chemical Synaptic Transmission (GO:0007268)","7/273",0.00044409717940033,0.0214646970043493,0,0,5.5557441992077,42.8873848226856,"UNC13B;GABRB2;DLG1;SYT10;LIN7A;GABRG2;SNCA","GO_Biological_Process_2023","pink"
"Regulation Of Lipase Activity (GO:0060191)","2/7",0.00051133277923463,0.0225653378662239,0,0,81.2040816326531,615.404316417306,"PCSK5;SNCA","GO_Biological_Process_2023","pink"
"Coronary Vasculature Morphogenesis (GO:0060977)","2/7",0.00051133277923463,0.0225653378662239,0,0,81.2040816326531,615.404316417306,"TGFBR3;NELL1","GO_Biological_Process_2023","pink"
"Mesenchymal Cell Migration (GO:0090497)","3/32",0.000541421069107827,0.0228975993810185,0,0,21.1919658727337,159.391414042061,"SEMA5A;NELL1;ERBB4","GO_Biological_Process_2023","pink"
"Protein Localization To Plasma Membrane (GO:0072659)","5/137",0.000626659455264981,0.0254423738837582,0,0,7.88197767145136,58.130431050787,"DPP6;DLG1;KCNB2;ZDHHC2;RAPGEF6","GO_Biological_Process_2023","pink"
"Neural Crest Cell Migration (GO:0001755)","3/36",0.000768177033599937,0.0299884495809206,0,0,18.6194939081537,133.529520677171,"SEMA5A;NELL1;ERBB4","GO_Biological_Process_2023","pink"
"Response To Histamine (GO:0034776)","2/9",0.000870867194754317,0.0318457708707719,0,0,57.997084548105,408.648679561366,"GABRB2;GABRG2","GO_Biological_Process_2023","pink"
"Signal Release From Synapse (GO:0099643)","3/38",0.000901065662717809,0.0318457708707719,0,0,17.5537555228277,123.085747538255,"SYT10;LIN7A;SNCA","GO_Biological_Process_2023","pink"
"Neuron Development (GO:0048666)","5/150",0.000943057893910248,0.0318457708707719,0,0,7.17059891107078,49.9531375212897,"GPRIN3;LGI1;TENM1;MEF2C;FLRT3","GO_Biological_Process_2023","pink"
"Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062)","3/39",0.000972629455166433,0.0318457708707719,0,0,17.0652920962199,118.356459198027,"DPP6;DLG1;SCN5A","GO_Biological_Process_2023","pink"
