gene,SNc healthy kME,SNc healthy in_module,SNc healthy rank,SNc intact kME,SNc intact in_module,SNc intact rank,SNc lesioned kME,SNc lesioned in_module,SNc lesioned rank,VTA healthy kME,VTA healthy in_module,VTA healthy rank,VTA intact kME,VTA intact in_module,VTA intact rank,VTA lesioned kME,VTA lesioned in_module,VTA lesioned rank
Gm2436,,,,,,,,,,,,,,,,,,
Gm2446,,,,,,,,,,,,,,,,,,
Gng5c,,,,,,,,,,,,,,,,,,
Gng14,,,,,,,,,,,,,,,,,,
Gm3785,,,,,,,,,,,,,,,,,,
Camk2d,-0.0121,0,,-0.1313,0,,-0.2381,0,,-0.0485,0,,-0.1156,0,,-0.2031,0,
Arrb1,-0.0557,0,,-0.0115,0,,0.0521,0,,-0.0604,0,,0.0370,0,,0.1096,0,
Maob,,,,-0.1011,0,,-0.0375,0,,-0.0084,0,,0.0318,0,,0.0510,0,
Slc18a1,0.0239,0,,0.0253,0,,0.0559,0,,,,,,,,,,
Akt1,0.0167,0,,0.0133,0,,0.0276,0,,0.0026,0,,-0.0196,0,,-0.0378,0,
Akt2,-0.0073,0,,-0.0030,0,,0.0015,0,,-0.0528,0,,-0.0044,0,,-0.0258,0,
Bmal1,,,,,,,,,,,,,,,,,,
Atf2,-0.0043,0,,0.0190,0,,0.0711,0,,0.0416,0,,0.0432,0,,0.1296,0,
Atf4,-0.0151,0,,0.0017,0,,-0.0177,0,,0.0036,0,,-0.0280,0,,-0.0198,0,
Cacna1a,0.1879,1,686,0.3170,1,305,0.4178,1,197,0.1163,0,,0.0392,0,,-0.0812,0,
Cacna1b,0.1247,0,,0.2077,1,573,0.2410,1,481,-0.0622,0,,-0.0073,0,,0.1419,0,
Cacna1c,-0.1386,0,,-0.1786,0,,-0.0882,0,,0.1377,0,,0.1344,0,,0.1070,0,
Cacna1d,0.4419,1,197,0.3460,1,249,0.3983,1,207,0.2962,1,83,0.2301,1,79,0.2827,1,120
Calm1,-0.0110,0,,-0.0920,0,,-0.0035,0,,-0.1021,0,,-0.1062,0,,-0.0912,0,
Calm2,-0.0855,0,,-0.0857,0,,0.0081,0,,-0.0527,0,,-0.0725,0,,-0.0443,0,
Calm3,0.0697,0,,0.0208,0,,0.1021,0,,0.0453,0,,-0.0859,0,,-0.1359,0,
Camk2a,-0.6736,0,,-0.6227,0,,-0.4583,0,,-0.0147,0,,0.0505,0,,0.1703,0,
Camk2b,-0.1936,0,,-0.1642,0,,-0.1028,0,,0.0080,0,,0.0093,0,,0.0828,0,
Camk2g,-0.1145,0,,-0.0989,0,,-0.0480,0,,-0.0072,0,,-0.0267,0,,0.0783,0,
Clock,-0.0988,0,,-0.0213,0,,-0.0258,0,,-0.0007,0,,0.0290,0,,0.1302,1,493
Comt,-0.0002,0,,0.0359,0,,0.0763,0,,0.1535,1,194,0.1674,1,112,0.0008,0,
Creb1,0.0114,0,,0.0164,0,,0.0160,0,,0.0779,0,,0.0714,0,,0.0793,1,652
Creb3,0.0194,0,,0.0331,0,,-0.0080,0,,-0.0267,0,,-0.0062,0,,-0.0184,0,
Atf6b,0.0177,0,,-0.0140,0,,0.0072,0,,0.0005,0,,-0.0189,0,,-0.0514,0,
Slc6a3,0.7111,1,38,0.6793,1,35,0.6945,1,19,0.0433,0,,-0.1098,0,,-0.3414,0,
Ddc,0.6222,1,76,0.5401,1,97,0.4863,1,143,-0.1507,0,,-0.1282,0,,-0.0840,0,
Drd1,,,,,,,,,,,,,,,,,,
Drd2,0.8012,1,12,0.7375,1,20,0.6828,1,25,0.0286,0,,0.0846,0,,0.1317,0,
Drd3,,,,,,,,,,,,,,,,,,
Drd4,,,,,,,,,,,,,,,,,,
Drd5,,,,,,,,,,,,,,,,,,
Fos,,,,,,,-0.1871,0,,,,,,,,,,
Gnai1,0.0967,0,,0.0858,0,,0.1601,0,,0.2225,1,129,0.1635,0,,0.1542,0,
Gnai2,-0.1379,0,,-0.1107,0,,-0.0925,0,,0.0607,0,,0.0207,0,,0.0572,0,
Gnai3,-0.0496,0,,-0.0192,0,,-0.0105,0,,0.0314,0,,0.0666,0,,0.1367,1,457
Gnal,0.2141,1,593,0.1448,1,892,0.1941,0,,-0.0884,0,,-0.0333,0,,0.0602,0,
Gnao1,-0.1604,0,,-0.1816,0,,-0.1171,0,,-0.0154,0,,0.0501,0,,0.2242,1,202
Gnaq,0.2400,1,511,0.1924,1,627,0.1851,0,,0.1384,0,,0.1470,0,,0.0975,0,
Gnas,-0.6884,0,,-0.6356,0,,-0.4817,0,,0.0478,0,,0.0645,0,,0.3546,1,68
