gene_name,kME,rank,in_kegg_dopaminergic_synapse
Klhl1,0.870000,1,0
Pbx1,0.854762,2,0
Frmd4b,0.854475,3,0
Adarb2,0.842286,4,0
Rgs6,0.840073,5,0
Slc35f1,0.834214,6,0
Csmd1,0.832764,7,0
Nos1ap,0.829184,8,0
9530059O14Rik,0.826959,9,0
Zfhx3,0.825678,10,0
Kcnj6,0.807723,11,1
Drd2,0.801153,12,1
Erc2,0.800749,13,0
Robo2,0.784486,14,0
Fam184a,0.777440,15,0
Cadm2,0.773918,16,0
Elavl2,0.769664,17,0
Anks1b,0.758873,18,0
Dpp10,0.747239,19,0
Lrrc3b,0.745262,20,0
Pcdh15,0.744681,21,0
Galntl6,0.742244,22,0
Pbx3,0.737510,23,0
Nkain2,0.737042,24,0
Pex5l,0.735982,25,0
Dab1,0.735464,26,0
Robo1,0.733652,27,0
Cntn4,0.724829,28,0
Vwc2l,0.724463,29,0
Nwd2,0.722631,30,0
Bnc2,0.716882,31,0
Ncam1,0.716864,32,0
Grm5,0.714078,33,0
Elavl4,0.713627,34,0
Sgcz,0.713572,35,0
Kcnn3,0.713417,36,0
Cdh11,0.711834,37,0
Slc6a3,0.711065,38,1
Meg3,0.708748,39,0
Col25a1,0.707654,40,0
Ptpru,0.702118,41,0
Nrxn3,0.696454,42,0
Prkca,0.696094,43,1
Sncaip,0.694256,44,0
Rims1,0.691714,45,0
Gria3,0.689642,46,1
Caln1,0.686278,47,0
Kif26b,0.685562,48,0
A230006K03Rik,0.684478,49,0
Apba1,0.682112,50,0
Il1rap,0.681937,51,0
Mir124a-1hg,0.679830,52,0
Sgcd,0.679473,53,0
Grip2,0.677855,54,0
Plxna4,0.673624,55,0
Satb1,0.672449,56,0
Adamtsl1,0.670584,57,0
Ntn1,0.668316,58,0
Srgap1,0.665655,59,0
Dgki,0.661510,60,0
Epha4,0.659359,61,0
Ret,0.656660,62,0
Slc35f4,0.656618,63,0
Cadps,0.651247,64,0
Spats2l,0.651057,65,0
Cplx1,0.650829,66,0
March1,0.649018,67,0
Epha10,0.648083,68,0
Nrg1,0.648079,69,0
Hecw2,0.641054,70,0
Cadps2,0.639541,71,0
Kcnd3,0.637046,72,0
Rreb1,0.634379,73,0
Cdh20,0.632103,74,0
Kcns3,0.627092,75,0
Ddc,0.622230,76,1
Malat1,0.622105,77,0
Msi2,0.620853,78,0
Serpine2,0.620702,79,0
Ptprz1,0.619207,80,0
Sv2c,0.619205,81,0
Dcc,0.618035,82,0
Erbb4,0.617369,83,0
Lix1,0.615636,84,0
Ptprg,0.615267,85,0
Plcb4,0.610650,86,1
1700042O10Rik,0.609599,87,0
Cntn6,0.607580,88,0
Tenm1,0.603654,89,0
Clstn2,0.601405,90,0
Ptpn5,0.601273,91,0
Rbms3,0.600689,92,0
Celf2,0.598308,93,0
Fam189a1,0.597454,94,0
Brinp1,0.593716,95,0
St6galnac5,0.590241,96,0
Cdh18,0.588679,97,0
Immp2l,0.581678,98,0
Bach2,0.580952,99,0
Ttc6,0.579852,100,0
Syt17,0.579664,101,0
Sv2b,0.579621,102,0
Clvs1,0.577923,103,0
Epha6,0.577699,104,0
Ccdc171,0.576288,105,0
Fmn1,0.572208,106,0
Tmem117,0.570618,107,0
Gabbr2,0.569494,108,0
Atxn1,0.568321,109,0
Rapgef5,0.566303,110,0
Tmem132b,0.565831,111,0
Gm21949,0.561817,112,0
Mob3b,0.561533,113,0
Mcc,0.560091,114,0
Lrmda,0.559318,115,0
Lrfn5,0.558445,116,0
Dscam,0.557793,117,0
Cntnap4,0.557490,118,0
Csmd3,0.555024,119,0
Kcnq3,0.554583,120,0
Pfkp,0.551897,121,0
Grk3,0.550988,122,0
Ldlrad4,0.549048,123,0
Cux2,0.546690,124,0
Vav3,0.544982,125,0
Nr4a2,0.543836,126,0
Tmtc2,0.543811,127,0
Gpr158,0.543029,128,0
Chrnb3,0.541909,129,0
Gsg1l,0.541817,130,0
Msra,0.540917,131,0
Pid1,0.539229,132,0
Etv5,0.536487,133,0
Kcnb2,0.535784,134,0
Agpat4,0.534250,135,0
Rcan2,0.533762,136,0
Cnksr2,0.532424,137,0
App,0.526708,138,0
En1,0.517883,139,0
Syt7,0.516167,140,0
Ripor2,0.515238,141,0
Cyth1,0.514251,142,0
Sdk1,0.511561,143,0
Pitpnm3,0.510925,144,0
Dgkz,0.509504,145,0
Pou3f2,0.504432,146,0
Ano6,0.503669,147,0
4930419G24Rik,0.502335,148,0
Phldb2,0.499686,149,0
Shtn1,0.497663,150,0
Colgalt2,0.495062,151,0
Grik3,0.490818,152,0
Lmx1b,0.487151,153,0
Macrod2,0.486968,154,0
Prr16,0.485972,155,0
Prima1,0.484444,156,0
Plekhh2,0.483772,157,0
CT025619.1,0.482911,158,0
Ctnnd2,0.482740,159,0
Zfp462,0.480827,160,0
Ppp2r2b,0.480493,161,1
Itpr1,0.479505,162,1
Gm15398,0.478333,163,0
Grm1,0.477332,164,0
Bsn,0.476919,165,0
Mpp6,0.473723,166,0
Epb41l4a,0.473213,167,0
Gm26905,0.467180,168,0
Osbpl3,0.466022,169,0
Cdh8,0.464384,170,0
Garnl3,0.463683,171,0
Tll1,0.463604,172,0
Igsf21,0.463501,173,0
Specc1,0.462909,174,0
Fhod3,0.462667,175,0
Palm2,0.462120,176,0
Ank1,0.462083,177,0
Lama3,0.461379,178,0
Prkd1,0.460499,179,0
Palmd,0.459257,180,0
Ajap1,0.459147,181,0
Esrrg,0.458490,182,0
Spag5,0.455065,183,0
Nectin3,0.455000,184,0
Fat3,0.454713,185,0
Mir124-2hg,0.453020,186,0
Syt1,0.450295,187,0
Me3,0.449671,188,0
Pkp4,0.448689,189,0
Auts2,0.447238,190,0
Ppfia2,0.446840,191,0
Ndnf,0.446419,192,0
Srgap2,0.446282,193,0
Pde4d,0.443388,194,0
Tox3,0.442852,195,0
Gab2,0.442087,196,0
Cacna1d,0.441930,197,1
Cit,0.440550,198,0
Cdk14,0.440326,199,0
Qk,0.440075,200,0
Osbpl9,0.439031,201,0
Aff3,0.438797,202,0
Crhr1,0.438700,203,0
Tigar,0.437713,204,0
Clgn,0.437312,205,0
Gm16083,0.436427,206,0
Olfm3,0.434809,207,0
AC149090.1,0.434741,208,0
Adcy1,0.434360,209,0
Epha7,0.433613,210,0
Ubash3b,0.432557,211,0
Ica1,0.432204,212,0
Agk,0.432201,213,0
Pknox2,0.431979,214,0
Zswim5,0.430923,215,0
Rerg,0.428616,216,0
Kank4,0.425736,217,0
Plekha5,0.425289,218,0
Mirg,0.425272,219,0
Zfp804a,0.424443,220,0
Rasgef1b,0.424275,221,0
A330008L17Rik,0.423301,222,0
Psd3,0.421987,223,0
Rab3c,0.420334,224,0
0610040J01Rik,0.418914,225,0
St6gal2,0.417490,226,0
Ryr3,0.417439,227,0
Kif21a,0.416373,228,0
Klhl13,0.411773,229,0
Sema6d,0.411759,230,0
Nrip3,0.411516,231,0
Gucy2c,0.410765,232,0
Myo6,0.410592,233,0
Pcsk2,0.409756,234,0
Rsrp1,0.409331,235,0
Tmem196,0.409175,236,0
3300002A11Rik,0.408377,237,0
Rora,0.406068,238,0
Slc10a4,0.405708,239,0
C78859,0.404373,240,0
Rgs7bp,0.402778,241,0
Magi1,0.402566,242,0
Ntng1,0.402450,243,0
Fat4,0.402198,244,0
Ammecr1,0.402106,245,0
St6galnac3,0.401550,246,0
Gpr26,0.400589,247,0
Snx24,0.399617,248,0
Stk39,0.398689,249,0
Gbf1,0.397803,250,0
Adamts6,0.396266,251,0
Slc8a3,0.393497,252,0
Cntn1,0.392865,253,0
Cast,0.392449,254,0
Nlgn1,0.391738,255,0
Lmo4,0.391226,256,0
Zfp618,0.390513,257,0
Cpeb3,0.389446,258,0
Rps6ka3,0.389070,259,0
Mpp7,0.388896,260,0
Gsdme,0.388564,261,0
Arhgap22,0.385878,262,0
Mmp16,0.385527,263,0
Dok6,0.385275,264,0
Ttc14,0.383925,265,0
Trps1,0.382872,266,0
5330434G04Rik,0.381770,267,0
Dock4,0.380136,268,0
Fry,0.379845,269,0
Luzp2,0.378559,270,0
Prkcb,0.378038,271,1
Nrg2,0.376931,272,0
Tenm2,0.376833,273,0
Kcnip3,0.376830,274,0
Reep1,0.376557,275,0
Eps15,0.376359,276,0
Hs3st5,0.375123,277,0
Zfhx4,0.374855,278,0
Chrna6,0.374360,279,0
Itgb8,0.373392,280,0
Glra3,0.373384,281,0
Fam102b,0.372689,282,0
Wasf3,0.371308,283,0
Wipf3,0.370626,284,0
Lyst,0.370600,285,0
Ctdspl,0.369374,286,0
Cers6,0.367683,287,0
Gm37459,0.366795,288,0
D430041D05Rik,0.366328,289,0
Gpatch8,0.365560,290,0
Cdh10,0.364414,291,0
Tfdp2,0.362367,292,0
Arid5b,0.361875,293,0
Dnajc6,0.360975,294,0
Nrn1,0.360293,295,0
Mad1l1,0.359422,296,0
Gm35501,0.358505,297,0
Ablim2,0.358348,298,0
3632451O06Rik,0.358066,299,0
Lsamp,0.357604,300,0
Ror1,0.357419,301,0
Stx8,0.356727,302,0
C230004F18Rik,0.356387,303,0
Gm26873,0.355456,304,0
C230014O12Rik,0.354912,305,0
Cacna2d3,0.354604,306,0
Pcsk1,0.353033,307,0
Pbdc1,0.352954,308,0
Ankrd24,0.352854,309,0
Ldhb,0.352697,310,0
Vsnl1,0.351867,311,0
Cacna1g,0.351757,312,0
Fam167a,0.351708,313,0
Mitf,0.351451,314,0
Map4,0.351354,315,0
Bmpr1b,0.351085,316,0
Sh3gl2,0.350178,317,0
9030622O22Rik,0.349865,318,0
Slc20a1,0.349689,319,0
Ogt,0.348636,320,0
Raph1,0.348634,321,0
Grin2c,0.347983,322,0
Adamts16,0.347840,323,0
Ralyl,0.346162,324,0
Ltbp1,0.345360,325,0
Lhfp,0.345054,326,0
Zbtb38,0.344623,327,0
Foxp2,0.344498,328,0
Clybl,0.343605,329,0
Kif16b,0.342434,330,0
Arhgap5,0.342267,331,0
Stmn2,0.341640,332,0
Frmpd4,0.339875,333,0
Cachd1,0.339840,334,0
L3mbtl4,0.339171,335,0
Mctp2,0.337046,336,0
Chrna4,0.336653,337,0
Cyth3,0.336608,338,0
Prickle2,0.336168,339,0
Slco2a1,0.335514,340,0
Gria2,0.335262,341,1
Glud1,0.335063,342,0
Sphkap,0.334190,343,0
AC165271.1,0.333893,344,0
Adam19,0.333276,345,0
Ctnna1,0.332556,346,0
Osbpl10,0.332394,347,0
Wdr44,0.331180,348,0
Tln2,0.330636,349,0
Nell2,0.330105,350,0
Zfyve28,0.328509,351,0
Rin2,0.328379,352,0
Map2k6,0.327475,353,0
Acss2,0.327198,354,0
Slc1a2,0.327105,355,0
Slitrk4,0.326951,356,0
Cacna1e,0.326378,357,0
St8sia6,0.325822,358,0
Fam196b,0.325700,359,0
Fhit,0.325379,360,0
Slit2,0.325096,361,0
Fam210b,0.324698,362,0
Mylip,0.324280,363,0
Arap2,0.324221,364,0
Trpm3,0.323682,365,0
March11,0.323341,366,0
Whrn,0.318829,367,0
Osbpl11,0.318504,368,0
Hecw1,0.318402,369,0
Agbl4,0.316957,370,0
Vill,0.316637,371,0
Lbh,0.314462,372,0
Rasal2,0.313689,373,0
Ptar1,0.312521,374,0
Pantr1,0.312472,375,0
Pdgfc,0.312196,376,0
Gm45645,0.312077,377,0
Gm2163,0.310319,378,0
Gm28153,0.309406,379,0
March4,0.306739,380,0
Smarca2,0.304873,381,0
Mfsd6,0.304792,382,0
Lmo3,0.304436,383,0
Gm40841,0.304376,384,0
Rasa2,0.303764,385,0
