gene_name,kME,rank,in_kegg_dopaminergic_synapse
Klhl1,0.825507,1,0
Robo2,0.816670,2,0
Rgs6,0.807457,3,0
Pbx1,0.801701,4,0
Kcnj6,0.801219,5,1
9530059O14Rik,0.797789,6,0
Nos1ap,0.796791,7,0
Frmd4b,0.792629,8,0
Pex5l,0.792305,9,0
Sgcz,0.784625,10,0
Csmd1,0.779807,11,0
Elavl2,0.771715,12,0
Adarb2,0.769367,13,0
Zfhx3,0.766698,14,0
Col25a1,0.765193,15,0
Slc35f1,0.761847,16,0
Cadm2,0.761640,17,0
Erc2,0.748566,18,0
Vwc2l,0.738675,19,0
Drd2,0.737543,20,1
Cntn4,0.727300,21,0
Nwd2,0.721501,22,0
Fam184a,0.719016,23,0
Robo1,0.718293,24,0
Adamtsl1,0.715845,25,0
Galntl6,0.700304,26,0
Bnc2,0.695674,27,0
Prkca,0.692320,28,1
Anks1b,0.691128,29,0
Dpp10,0.690865,30,0
Meg3,0.688408,31,0
Pcdh15,0.685751,32,0
Kcnd3,0.683509,33,0
Kcnn3,0.680935,34,0
Slc6a3,0.679345,35,1
Pbx3,0.678025,36,0
Nkain2,0.665202,37,0
Nrxn3,0.663666,38,0
Elavl4,0.663609,39,0
Lrrc3b,0.663156,40,0
Clstn2,0.655474,41,0
Brinp1,0.648481,42,0
Cadps2,0.646199,43,0
4930419G24Rik,0.639745,44,0
Sgcd,0.639689,45,0
Kcns3,0.637896,46,0
A230006K03Rik,0.637492,47,0
Il1rap,0.634302,48,0
Sncaip,0.633928,49,0
Cdh11,0.631086,50,0
Mir124a-1hg,0.630825,51,0
Slc35f4,0.629023,52,0
Spats2l,0.625770,53,0
Sv2c,0.624966,54,0
Epha4,0.622808,55,0
Kif26b,0.620164,56,0
Satb1,0.619842,57,0
Hecw2,0.618000,58,0
Grm5,0.616865,59,0
Lix1,0.613280,60,0
Dab1,0.611254,61,0
Dcc,0.609448,62,0
Cplx1,0.609187,63,0
Msi2,0.608430,64,0
Kcnq3,0.608378,65,0
Cdh20,0.607135,66,0
Rbms3,0.605161,67,0
Cntn6,0.603790,68,0
Grip2,0.603002,69,0
Erbb4,0.599657,70,0
Rims1,0.594728,71,0
Apba1,0.592511,72,0
Nrg1,0.589045,73,0
Immp2l,0.586919,74,0
Ptpru,0.586650,75,0
Malat1,0.586573,76,0
Caln1,0.586275,77,0
Gm26905,0.577953,78,0
Cdh18,0.576501,79,0
Serpine2,0.572516,80,0
Epha10,0.570623,81,0
Cntnap4,0.565125,82,0
Ncam1,0.564993,83,0
Cadps,0.564656,84,0
Plxna4,0.563627,85,0
Ntn1,0.558593,86,0
Tmtc2,0.553818,87,0
Mob3b,0.548125,88,0
Srgap1,0.547484,89,0
Tll1,0.545472,90,0
Gria3,0.545315,91,1
Lrmda,0.544356,92,0
Ret,0.544349,93,0
Rreb1,0.543540,94,0
St6gal2,0.542623,95,0
Ldlrad4,0.541112,96,0
Ddc,0.540135,97,1
Clvs1,0.538458,98,0
St6galnac5,0.537421,99,0
Tenm1,0.536681,100,0
Bach2,0.536511,101,0
Rcan2,0.534915,102,0
Fmn1,0.532988,103,0
March1,0.530860,104,0
Sv2b,0.530187,105,0
Ccdc171,0.527111,106,0
Syt17,0.526786,107,0
Lrfn5,0.526767,108,0
Kcnb2,0.525348,109,0
Tmem117,0.524465,110,0
Tmem132b,0.517370,111,0
Mpp6,0.515610,112,0
Ptprz1,0.513921,113,0
Plcb4,0.510935,114,1
Cux2,0.510756,115,0
Ttc6,0.509565,116,0
Gm37459,0.507367,117,0
Rapgef5,0.503316,118,0
Dgki,0.502481,119,0
Epha6,0.500350,120,0
Pid1,0.500194,121,0
Etv5,0.500005,122,0
Pou3f2,0.494527,123,0
Grk3,0.492657,124,0
Atxn1,0.491769,125,0
Msra,0.486693,126,0
Vav3,0.481845,127,0
Gm26936,0.479374,128,0
Auts2,0.478961,129,0
Macrod2,0.477762,130,0
Gabbr2,0.477105,131,0
Gsg1l,0.477033,132,0
Csmd3,0.476987,133,0
AC165271.1,0.476265,134,0
Prr16,0.474643,135,0
Ndnf,0.474623,136,0
Chrnb3,0.474530,137,0
Fam189a1,0.474278,138,0
Cdh8,0.473942,139,0
St6galnac3,0.470466,140,0
Ptpn5,0.469394,141,0
Celf2,0.466848,142,0
Gm15398,0.466177,143,0
Gm21949,0.464945,144,0
Ptprg,0.463253,145,0
Nr4a2,0.462364,146,0
Prkd1,0.460092,147,0
Sdk1,0.457720,148,0
Zfp462,0.457216,149,0
Gm16083,0.456730,150,0
Osbpl3,0.454953,151,0
Grik3,0.451342,152,0
Palmd,0.450316,153,0
Pfkp,0.448627,154,0
Colgalt2,0.448379,155,0
Dgkz,0.448378,156,0
Garnl3,0.446623,157,0
Gpr158,0.442025,158,0
Grm1,0.441959,159,0
Mcc,0.441461,160,0
En1,0.439689,161,0
Gab2,0.439562,162,0
Bsn,0.438508,163,0
Cnksr2,0.437686,164,0
Esrrg,0.435798,165,0
Mir124-2hg,0.434528,166,0
Ryr3,0.434506,167,0
Psd3,0.432945,168,0
Fat3,0.432889,169,0
CT025619.1,0.432575,170,0
Lama3,0.432434,171,0
Gsdme,0.432265,172,0
A330008L17Rik,0.430319,173,0
Rora,0.428096,174,0
Lmx1b,0.427815,175,0
Ctnnd2,0.427245,176,0
Igsf21,0.426868,177,0
Ubash3b,0.425745,178,0
Nectin3,0.421021,179,0
Fam135b,0.420642,180,0
Rerg,0.420122,181,0
Cdk14,0.417189,182,0
Atp2b2,0.414577,183,0
Me3,0.413995,184,0
Palm2,0.413310,185,0
Qk,0.412988,186,0
Phldb2,0.412208,187,0
Slc18a2,0.411894,188,1
Agpat4,0.410429,189,0
1700042O10Rik,0.409942,190,0
0610040J01Rik,0.409855,191,0
Agk,0.409522,192,0
Cyth1,0.408730,193,0
4921534H16Rik,0.405210,194,0
Mirg,0.404678,195,0
Zfp804a,0.404027,196,0
Prima1,0.404020,197,0
Syt7,0.403968,198,0
Gm26873,0.403843,199,0
Ano6,0.402979,200,0
App,0.401217,201,0
Pde4d,0.399951,202,0
C230004F18Rik,0.399192,203,0
Sema6d,0.393935,204,0
Adamts6,0.393728,205,0
Zswim5,0.392745,206,0
Rasgef1b,0.392683,207,0
Ripor2,0.392541,208,0
Plekhh2,0.391149,209,0
Stk39,0.390151,210,0
Gbf1,0.388854,211,0
5330434G04Rik,0.388839,212,0
Igf1,0.388234,213,0
Myo6,0.387128,214,0
Ica1,0.386923,215,0
Pitpnm3,0.383780,216,0
Homer2,0.380679,217,0
Snx24,0.378306,218,0
Tigar,0.377039,219,0
Adcy1,0.376102,220,0
Mpp7,0.374837,221,0
Aff3,0.374352,222,0
Epha7,0.372004,223,0
Pigk,0.370012,224,0
Wasf3,0.368495,225,0
Nlgn1,0.367597,226,0
Tmem196,0.367399,227,0
Klhl13,0.366591,228,0
Crhr1,0.365940,229,0
Lyst,0.364957,230,0
Gpr26,0.364541,231,0
Rps6ka3,0.363297,232,0
Osbpl9,0.362561,233,0
March11,0.361769,234,0
Plcxd2,0.360357,235,0
Kank4,0.358195,236,0
Cast,0.358056,237,0
Fam155a,0.356917,238,0
Gucy2c,0.356767,239,0
Arhgap22,0.355671,240,0
Ank1,0.355148,241,0
Srgap2,0.353413,242,0
Fhod3,0.353162,243,0
Cdh10,0.352805,244,0
Itpr1,0.352622,245,1
Epha5,0.350065,246,0
Epb41l4a,0.346254,247,0
Rab3c,0.346054,248,0
Cacna1d,0.346034,249,1
Bmpr1b,0.345932,250,0
Chrna6,0.345453,251,0
Cntnap5a,0.345404,252,0
Nell2,0.343197,253,0
Ctnna1,0.342933,254,0
Ajap1,0.342434,255,0
Kif21a,0.342357,256,0
Ntsr1,0.342001,257,0
Clgn,0.341562,258,0
Cit,0.341530,259,0
C78859,0.340188,260,0
Lhfp,0.339680,261,0
Pbdc1,0.339221,262,0
Eps15,0.337830,263,0
Tox3,0.336903,264,0
Gpatch8,0.336745,265,0
Ppp2r2b,0.335806,266,1
Nrip3,0.334832,267,0
Syt1,0.334458,268,0
Ttc14,0.334446,269,0
Bclaf3,0.333793,270,0
Prkcb,0.333242,271,1
Shtn1,0.333219,272,0
Gm45645,0.332587,273,0
Nrn1,0.332443,274,0
Ubr4,0.332271,275,0
3632451O06Rik,0.332055,276,0
Osbpl11,0.331132,277,0
Fat4,0.330752,278,0
Arhgef28,0.330644,279,0
Mctp1,0.330376,280,0
Glra3,0.330185,281,0
Reep1,0.328387,282,0
Naaladl2,0.328091,283,0
Itgb8,0.326876,284,0
Rap1gds1,0.326337,285,0
Rsrp1,0.325598,286,0
9030622O22Rik,0.324915,287,0
Lmo4,0.323792,288,0
Wdr44,0.323558,289,0
Acss2,0.323130,290,0
Etv6,0.322944,291,0
Slit2,0.322789,292,0
Ctdspl,0.322735,293,0
Slco2a1,0.322055,294,0
Fam210b,0.321946,295,0
Pcsk1,0.321649,296,0
Mctp2,0.321617,297,0
Prickle1,0.321376,298,0
March4,0.320968,299,0
L3mbtl4,0.320265,300,0
Clybl,0.318267,301,0
Dip2b,0.317936,302,0
Dok6,0.317818,303,0
Rin2,0.317593,304,0
Cacna1a,0.317049,305,1
Sgip1,0.316080,306,0
Cyth3,0.314516,307,0
Wipf3,0.314261,308,0
Specc1,0.313775,309,0
Gm35501,0.313759,310,0
Ppfia2,0.313554,311,0
Lnpep,0.312997,312,0
Tfdp2,0.312741,313,0
Nrg2,0.312727,314,0
St3gal1,0.312391,315,0
Gm40841,0.311805,316,0
C79798,0.310806,317,0
Slc23a2,0.310633,318,0
Prickle2,0.310334,319,0
Slco3a1,0.310028,320,0
Plekha5,0.309850,321,0
Zfp521,0.307741,322,0
Ptar1,0.307331,323,0
Cpeb3,0.306480,324,0
Pknox2,0.306016,325,0
Fam102b,0.305906,326,0
A430106G13Rik,0.305702,327,0
Siah3,0.305558,328,0
Slc10a4,0.305461,329,0
Pantr1,0.304870,330,0
Rasa2,0.304793,331,0
Arap2,0.304185,332,0
Lncbate1,0.302405,333,0
Ankrd24,0.301744,334,0
Rgs11,0.301668,335,0
Gm20319,0.301449,336,0
Mapk9,0.301401,337,1
4933411O13Rik,0.300242,338,0
Spag5,0.299854,339,0
Arhgap5,0.299447,340,0
Bckdhb,0.299200,341,0
Ogt,0.298477,342,0
Zfp618,0.297981,343,0
Pitpnc1,0.297967,344,0
C230014O12Rik,0.297156,345,0
Mitf,0.297131,346,0
Grin2c,0.296330,347,0
Mmp16,0.296144,348,0
Ltbp1,0.295905,349,0
Trpm3,0.295755,350,0
7420701I03Rik,0.294860,351,0
Klf8,0.294452,352,0
Apba2,0.294237,353,0
2900011O08Rik,0.293765,354,0
Ablim2,0.293283,355,0
Cacna2d3,0.292867,356,0
Plekha7,0.290302,357,0
Fam167a,0.289943,358,0
Upp2,0.289710,359,0
Rimbp2,0.289417,360,0
Slc20a1,0.287867,361,0
Hmgcr,0.286950,362,0
Zfhx4,0.286697,363,0
AC149090.1,0.284947,364,0
Cacnb2,0.284854,365,0
Pdgfc,0.284243,366,0
Frmpd4,0.283457,367,0
3300002A11Rik,0.282179,368,0
Evi5,0.281313,369,0
Stmn2,0.280963,370,0
Mboat1,0.278630,371,0
Osbpl10,0.277984,372,0
Neo1,0.277877,373,0
Dnajc6,0.277785,374,0
Slc6a1,0.277531,375,0
Fhit,0.276082,376,0
Asap1,0.275978,377,0
Kif16b,0.275841,378,0
Lactb2,0.275008,379,0
Myrip,0.274868,380,0
Gfpt2,0.274462,381,0
Tmem232,0.273582,382,0
Mylip,0.272903,383,0
Gm26804,0.272889,384,0
Ttc12,0.272431,385,0
Zmat4,0.272397,386,0
Plxna1,0.272123,387,0
Agtpbp1,0.271087,388,0
Slc8a3,0.270478,389,0
Fryl,0.270293,390,0
Klhl32,0.269824,391,0
Sh3gl2,0.269619,392,0
Lekr1,0.269283,393,0
Atg7,0.269087,394,0
Adamts16,0.269004,395,0
Mad1l1,0.268956,396,0
Glud1,0.268907,397,0
Gm35188,0.268896,398,0
Pappa,0.268534,399,0
St6gal1,0.267605,400,0
E2f3,0.267298,401,0
Fam204a,0.267233,402,0
Drp2,0.266875,403,0
Cers6,0.266401,404,0
Cpq,0.266382,405,0
Ror1,0.266357,406,0
Gm45881,0.265292,407,0
Uncx,0.265185,408,0
Adam19,0.263862,409,0
Aldh1a1,0.263823,410,0
Arnt,0.263271,411,0
Tacr1,0.262867,412,0
Cachd1,0.262469,413,0
Gm13963,0.262437,414,0
Tcp11l1,0.262415,415,0
Micu3,0.261444,416,0
Ldhb,0.261254,417,0
Gm45904,0.259895,418,0
Cnpy1,0.259716,419,0
Myh14,0.259280,420,0
Ammecr1,0.258060,421,0
Plcl2,0.257783,422,0
D430041D05Rik,0.257674,423,0
Zfyve28,0.257538,424,0
Slc24a3,0.257377,425,0
Pvt1,0.257347,426,0
Mfsd6,0.256870,427,0
Gm11655,0.256603,428,0
Gm11149,0.256163,429,0
Trps1,0.256141,430,0
Nrcam,0.255561,431,0
Pdlim5,0.255421,432,0
Lgr4,0.254184,433,0
Gm30085,0.253307,434,0
Vill,0.253294,435,0
Gm47134,0.252663,436,0
Ttyh1,0.252241,437,0
Chrna4,0.252211,438,0
Srebf2,0.251472,439,0
Coro2a,0.250484,440,0
Olfm2,0.250180,441,0
Gria2,0.250119,442,1
Arhgap21,0.250104,443,0
Flt3,0.249829,444,0
Hecw1,0.248788,445,0
Sfxn3,0.248706,446,0
Cntn1,0.248227,447,0
Tbl1xr1,0.247978,448,0
Whrn,0.247779,449,0
Cdc42ep3,0.247618,450,0
Rps6kc1,0.247395,451,0
Sh3bgrl2,0.246974,452,0
Platr31,0.246335,453,0
Runx2,0.246177,454,0
Man1c1,0.245583,455,0
Atrnl1,0.245476,456,0
Hmgcs1,0.244947,457,0
Pxmp4,0.243824,458,0
Cyp51,0.243404,459,0
Tle2,0.242974,460,0
Rab6b,0.242726,461,0
Lbh,0.241675,462,0
St8sia6,0.241578,463,0
Xylt1,0.241046,464,0
Vit,0.240939,465,0
Stx8,0.240194,466,0
St8sia1,0.240007,467,0
Bicd1,0.239724,468,0
Clip1,0.238815,469,0
Fgf20,0.238487,470,0
Nsf,0.238071,471,0
Pkp4,0.237955,472,0
Dlgap3,0.237941,473,0
Map4,0.237533,474,0
Spred2,0.237401,475,0
Fdft1,0.236848,476,0
Nek1,0.236820,477,0
Pcsk2,0.236369,478,0
Gpm6b,0.236120,479,0
Gm29530,0.236095,480,0
Itsn1,0.235777,481,0
Ablim1,0.235597,482,0
Gm42397,0.235317,483,0
Wdr25,0.235274,484,0
Agbl4,0.234792,485,0
Tspan5,0.233628,486,0
Tshz1,0.233219,487,0
Alk,0.233145,488,0
Pitpna,0.232625,489,0
Dst,0.232553,490,0
Gm38407,0.231577,491,0
Btbd11,0.231392,492,0
Pparg,0.231350,493,0
Gldn,0.231320,494,0
Agfg1,0.230795,495,0
Carmil3,0.230754,496,0
Msmo1,0.230721,497,0
4930578G10Rik,0.230543,498,0
Lmcd1,0.230416,499,0
Heatr5a,0.228930,500,0
Dok5,0.228764,501,0
Nlk,0.228324,502,0
Tlk1,0.227474,503,0
Gpcpd1,0.227172,504,0
Akap13,0.227145,505,0
Ptchd4,0.226061,506,0
Atp5o,0.226013,507,0
Larp1b,0.225163,508,0
Inpp5k,0.225084,509,0
1700111E14Rik,0.223996,510,0
Slitrk4,0.223785,511,0
Arfgef3,0.223660,512,0
