gene_name,kME,rank,in_kegg_dopaminergic_synapse
Slc35f1,0.782797,1,0
Sgcz,0.774198,2,0
Pbx1,0.759378,3,0
Pex5l,0.758622,4,0
Kcnj6,0.751508,5,1
Zfhx3,0.737067,6,0
Galntl6,0.735567,7,0
Nos1ap,0.728166,8,0
Vwc2l,0.727375,9,0
Elavl2,0.727281,10,0
Frmd4b,0.726704,11,0
Adarb2,0.726559,12,0
Robo1,0.724780,13,0
Cadm2,0.720383,14,0
Nkain2,0.705301,15,0
Erc2,0.705227,16,0
Klhl1,0.703545,17,0
Dpp10,0.701098,18,0
Slc6a3,0.694544,19,1
Csmd1,0.688423,20,0
Grm5,0.687571,21,0
4930419G24Rik,0.684679,22,0
Nrg1,0.684488,23,0
Lix1,0.683386,24,0
Drd2,0.682850,25,1
Col25a1,0.680823,26,0
Bnc2,0.678554,27,0
Ptpru,0.678492,28,0
Kcns3,0.677920,29,0
Nwd2,0.676285,30,0
Cadps2,0.672678,31,0
Mob3b,0.672457,32,0
Tll1,0.672359,33,0
Cntn4,0.668111,34,0
Spats2l,0.667245,35,0
Lrrc3b,0.665997,36,0
Kcnn3,0.663648,37,0
Gm26905,0.663646,38,0
Erbb4,0.662461,39,0
Cdh18,0.661043,40,0
Epha10,0.656562,41,0
Epha4,0.655014,42,0
Meg3,0.653913,43,0
Elavl4,0.651353,44,0
9530059O14Rik,0.647065,45,0
Il1rap,0.645655,46,0
Grip2,0.642774,47,0
Pbx3,0.640502,48,0
Cntn6,0.638024,49,0
Adamtsl1,0.635219,50,0
Kcnd3,0.635189,51,0
A230006K03Rik,0.634160,52,0
Rreb1,0.630511,53,0
Pcdh15,0.630307,54,0
Fam184a,0.628155,55,0
Etv5,0.621699,56,0
Sv2b,0.621311,57,0
Cdh11,0.621125,58,0
Sncaip,0.618832,59,0
Slc35f4,0.616515,60,0
Satb1,0.610954,61,0
St6galnac5,0.604666,62,0
Epha6,0.603506,63,0
Clstn2,0.599316,64,0
Brinp1,0.598335,65,0
Mir124a-1hg,0.598268,66,0
Sgcd,0.596322,67,0
Chrnb3,0.595465,68,0
Dcc,0.595396,69,0
Pou3f2,0.595353,70,0
Cntnap4,0.589832,71,0
Gm26936,0.587006,72,0
Ptprz1,0.586779,73,0
Anks1b,0.584929,74,0
Cplx1,0.583782,75,0
St6gal2,0.583497,76,0
Gria3,0.582164,77,1
Lrmda,0.579104,78,0
Sdk1,0.574811,79,0
Gm37459,0.570450,80,0
Prkca,0.570196,81,1
Msi2,0.568116,82,0
Prr16,0.561675,83,0
Rims1,0.559105,84,0
Tmem132b,0.558388,85,0
Kcnb2,0.557395,86,0
En1,0.555977,87,0
St6galnac3,0.555882,88,0
AC165271.1,0.555648,89,0
Lrfn5,0.551556,90,0
Fat3,0.550174,91,0
Rapgef5,0.548781,92,0
Caln1,0.548730,93,0
Gm26873,0.548256,94,0
Tmtc2,0.548026,95,0
Gm15398,0.547023,96,0
Kif26b,0.545741,97,0
Fam189a1,0.545548,98,0
Dab1,0.544809,99,0
Plxna4,0.543734,100,0
Sphkap,0.543527,101,0
Ret,0.542809,102,0
Ccdc171,0.542595,103,0
Mcc,0.541821,104,0
Tenm1,0.541319,105,0
Serpine2,0.539287,106,0
Apba1,0.536090,107,0
Agk,0.534432,108,0
Gsg1l,0.532562,109,0
9030622O22Rik,0.532182,110,0
Rbms3,0.531924,111,0
Pid1,0.531391,112,0
Igf1,0.530325,113,0
Ubash3b,0.524994,114,0
Hecw2,0.520536,115,0
Gabbr2,0.519765,116,0
3300002A11Rik,0.519764,117,0
Igsf21,0.518703,118,0
Nr4a2,0.517320,119,0
Immp2l,0.513984,120,0
CT025619.1,0.512915,121,0
Csmd3,0.511763,122,0
Ndnf,0.510541,123,0
Ldlrad4,0.509290,124,0
Chrna6,0.506593,125,0
Cux2,0.504177,126,0
Celf2,0.503958,127,0
Msra,0.503347,128,0
Ryr3,0.501983,129,0
Grm1,0.501762,130,0
Prkd1,0.501478,131,0
Pigk,0.496566,132,0
Tox3,0.495625,133,0
Macrod2,0.495455,134,0
Syt17,0.493019,135,0
Ptprg,0.492921,136,0
Zfp804a,0.492205,137,0
Lama3,0.492118,138,0
Grk3,0.491466,139,0
Gm21949,0.490965,140,0
Cnksr2,0.488260,141,0
Slc18a2,0.487675,142,1
Ddc,0.486258,143,1
Auts2,0.485554,144,0
Rcan2,0.484701,145,0
Bach2,0.483702,146,0
Tigar,0.479975,147,0
Trpm3,0.476044,148,0
Lncbate1,0.475284,149,0
Osbpl3,0.471493,150,0
Cdh10,0.469059,151,0
Palmd,0.466019,152,0
Rerg,0.465387,153,0
Zswim5,0.464871,154,0
Ptpn5,0.463884,155,0
Cyth1,0.463747,156,0
Ntsr1,0.462889,157,0
Wasf3,0.461828,158,0
Prima1,0.461561,159,0
Garnl3,0.457570,160,0
Esrrg,0.455027,161,0
Tmem117,0.454459,162,0
4921534H16Rik,0.451201,163,0
Nlgn1,0.450934,164,0
Mboat1,0.450422,165,0
Clgn,0.450018,166,0
Cadps,0.449959,167,0
Bsn,0.448782,168,0
Syt7,0.445198,169,0
Gpr26,0.444376,170,0
Gm16083,0.442588,171,0
Mirg,0.440342,172,0
Kank4,0.438252,173,0
1700042O10Rik,0.436973,174,0
Fam210b,0.436625,175,0
Lmo4,0.435956,176,0
Ubr4,0.434764,177,0
Crhr1,0.434463,178,0
Foxp2,0.432470,179,0
Ajap1,0.432469,180,0
Zfp462,0.431878,181,0
Dgkz,0.431740,182,0
Lmx1b,0.430898,183,0
Vav3,0.430828,184,0
Clvs1,0.429727,185,0
Rora,0.428424,186,0
Adamts6,0.426812,187,0
Whrn,0.426724,188,0
Nell2,0.425590,189,0
Gm45645,0.425462,190,0
Epha7,0.424590,191,0
Gsdme,0.420869,192,0
Lhfp,0.418406,193,0
A330008L17Rik,0.418255,194,0
Pitpnc1,0.418078,195,0
Spag5,0.417933,196,0
Cacna1a,0.417756,197,1
Ppp2r2b,0.412658,198,1
Atxn1,0.411385,199,0
Phldb2,0.410503,200,0
7420701I03Rik,0.410212,201,0
Ctnna1,0.407434,202,0
Pappa,0.405411,203,0
Pbdc1,0.404534,204,0
Itpr1,0.402444,205,1
Slc10a4,0.401200,206,0
Cacna1d,0.398272,207,1
Cdk14,0.397225,208,0
C230014O12Rik,0.397058,209,0
Mad1l1,0.396288,210,0
Stk39,0.396281,211,0
Gm20319,0.394687,212,0
Arap2,0.393302,213,0
Wipf3,0.393009,214,0
Chrna4,0.391680,215,0
Aff3,0.391514,216,0
Nectin3,0.391149,217,0
Mctp1,0.391111,218,0
Specc1,0.391098,219,0
Ica1,0.390262,220,0
Mpp6,0.389227,221,0
Btbd11,0.388014,222,0
Adcy1,0.385397,223,0
A430106G13Rik,0.385384,224,0
4933411O13Rik,0.383626,225,0
Pde4d,0.382514,226,0
Fat4,0.382169,227,0
Rasgef1b,0.382057,228,0
Cnpy1,0.381006,229,0
Dok6,0.378384,230,0
C79798,0.377851,231,0
