gene_name,kME,rank,in_kegg_dopaminergic_synapse
Aldh1a1,0.750701,1,0
Kcnab1,0.743621,2,0
Pde1c,0.710690,3,0
Tmem132d,0.681081,4,0
Dmd,0.670589,5,0
Cdh8,0.656758,6,0
Ehbp1,0.632586,7,0
Ebf1,0.624285,8,0
Ext1,0.622031,9,0
Cdh13,0.585594,10,0
Plekhg1,0.577149,11,0
Eya1,0.567082,12,0
C130073E24Rik,0.563736,13,0
Epha5,0.560430,14,0
Cdh6,0.560189,15,0
A330008L17Rik,0.557544,16,0
Nrp1,0.545576,17,0
Slc1a2,0.533079,18,0
Ghr,0.528173,19,0
Pcdh15,0.522307,20,0
Epha10,0.516013,21,0
Hcrtr2,0.513238,22,0
Tcf12,0.501851,23,0
Chrm2,0.490825,24,0
Adra1b,0.484118,25,0
Tcf4,0.478443,26,0
Zfp385b,0.461226,27,0
Plpp4,0.454642,28,0
Parm1,0.453725,29,0
Slco2a1,0.446302,30,0
Neurod6,0.441639,31,0
Nfib,0.440578,32,0
Astn2,0.435118,33,0
Gm45323,0.429967,34,0
Plcg2,0.429420,35,0
Gm45341,0.420808,36,0
Klhl14,0.420680,37,0
4930555F03Rik,0.408354,38,0
Chn2,0.405558,39,0
Lpl,0.404306,40,0
Atp2b4,0.404261,41,0
Srrm4,0.403650,42,0
Syt17,0.403345,43,0
Piezo2,0.401121,44,0
Gpr83,0.397095,45,0
Otx2,0.391302,46,0
Unc13c,0.386539,47,0
Cdc14a,0.384412,48,0
Lrrtm4,0.384079,49,0
Nrcam,0.383910,50,0
Grip1,0.383389,51,0
Grm7,0.377244,52,0
A830018L16Rik,0.362030,53,0
Mllt3,0.354291,54,0
Antxr2,0.354230,55,0
Raver2,0.354181,56,0
Rasgef1b,0.352968,57,0
Cbln4,0.349724,58,0
Ankrd34b,0.348318,59,0
Flrt2,0.342663,60,0
Pmfbp1,0.337936,61,0
Gsg1l,0.337332,62,0
Satb1,0.336912,63,0
Elmo1,0.333884,64,0
Gm45321,0.333227,65,0
Dgki,0.332495,66,0
Ntn1,0.330895,67,0
Elavl2,0.330060,68,0
Fam19a1,0.327147,69,0
Grp,0.323475,70,0
Gm15398,0.322509,71,0
Shroom3,0.316525,72,0
Gm2516,0.315096,73,0
Mpp7,0.314155,74,0
Gabrb1,0.310419,75,0
Tenm4,0.307925,76,0
Msh3,0.307394,77,0
Rassf3,0.306658,78,0
Stxbp6,0.305179,79,0
Tmem132c,0.301346,80,0
Acss1,0.298901,81,0
Plch1,0.297536,82,0
Cacna1d,0.296245,83,1
Strip2,0.295479,84,0
Prdm8,0.292260,85,0
Sh3bp4,0.283899,86,0
Efcc1,0.283384,87,0
Tiam2,0.282483,88,0
Srgap2,0.282371,89,0
Ppp1r14c,0.281721,90,0
Grik4,0.281515,91,0
Matn2,0.278102,92,0
Fut8,0.277890,93,0
Dscaml1,0.277042,94,0
Htr7,0.275884,95,0
Golm1,0.275693,96,0
Gpr149,0.273378,97,0
Bach2,0.273202,98,0
Grin2b,0.272226,99,1
Tmem2,0.267075,100,0
Wscd1,0.264795,101,0
Plpp3,0.261679,102,0
Cntn6,0.260723,103,0
Cldn34c1,0.256663,104,0
Fst,0.256250,105,0
Igsf21,0.252325,106,0
Prtg,0.251741,107,0
Col11a1,0.250792,108,0
Gm40841,0.245883,109,0
Dach2,0.243851,110,0
Gm10406,0.243318,111,0
Abhd2,0.242440,112,0
4930426D05Rik,0.241218,113,0
Igdcc3,0.238727,114,0
Tlk1,0.236392,115,0
Slitrk6,0.235658,116,0
Eef2k,0.235004,117,0
Usp12,0.234958,118,0
Tmem132e,0.234674,119,0
Rorb,0.234068,120,0
Stac,0.233307,121,0
Cpne9,0.230205,122,0
Amotl1,0.230134,123,0
Slc16a7,0.227554,124,0
Rps6ka6,0.225778,125,0
Hecw2,0.224233,126,0
Rapgef3,0.223821,127,0
Pclo,0.222778,128,0
Gnai1,0.222532,129,1
3632451O06Rik,0.219499,130,0
Lrrc1,0.219470,131,0
Slc35f3,0.217873,132,0
Phf21a,0.214463,133,0
Necab3,0.212001,134,0
Cdk5rap2,0.211963,135,0
Slc23a2,0.207736,136,0
Prmt8,0.205771,137,0
Cplx2,0.203622,138,0
A830019P07Rik,0.202809,139,0
Dhfr,0.201458,140,0
Btbd3,0.200760,141,0
Vgll4,0.198680,142,0
Cep70,0.198378,143,0
Arhgap22,0.198311,144,0
Mme,0.194993,145,0
Rapgef4,0.193600,146,0
Cbfb,0.192874,147,0
Fam110b,0.192593,148,0
Zfpm2,0.191850,149,0
Plppr5,0.189797,150,0
Tiparp,0.188552,151,0
Tspan18,0.187731,152,0
Prkag2,0.187330,153,0
Psg16,0.185690,154,0
Phka1,0.185554,155,0
Fig4,0.185409,156,0
Camkk2,0.184409,157,0
Herc3,0.182715,158,0
Arhgap31,0.180123,159,0
Parva,0.179025,160,0
AC162302.1,0.178955,161,0
Gabra5,0.177912,162,0
Csdc2,0.177014,163,0
Focad,0.174933,164,0
Pard6g,0.174404,165,0
Abhd3,0.173421,166,0
Mgat4a,0.172599,167,0
P3h2,0.172184,168,0
Vipr2,0.171774,169,0
Sept3,0.170770,170,0
Ankrd50,0.168752,171,0
Rasgrp1,0.168578,172,0
Entpd6,0.168086,173,0
B230217J21Rik,0.166393,174,0
Rin2,0.164689,175,0
Rnasel,0.164522,176,0
Gm27188,0.162663,177,0
Fmnl3,0.162621,178,0
Tmeff1,0.161847,179,0
Agtpbp1,0.161752,180,0
Pou3f3,0.161193,181,0
Sh3d19,0.160691,182,0
Galnt9,0.160434,183,0
Cd47,0.159221,184,0
Ergic2,0.158957,185,0
Flnb,0.158666,186,0
Gm3264,0.158338,187,0
Ntn4,0.157412,188,0
Ablim3,0.156978,189,0
Nuak2,0.155394,190,0
Rtn3,0.155343,191,0
Pitpnm3,0.154432,192,0
Rgs22,0.153749,193,0
Comt,0.153549,194,1
Anxa5,0.153109,195,0
Hs3st1,0.152616,196,0
Mturn,0.152382,197,0
Fam163a,0.151546,198,0
Rgs3,0.151464,199,0
AC101921.1,0.151393,200,0
Scg3,0.151204,201,0
Gm45846,0.151175,202,0
Fgf9,0.150586,203,0
Snx1,0.149840,204,0
Chuk,0.148525,205,0
Sync,0.147182,206,0
Paqr9,0.146693,207,0
Zfand3,0.145485,208,0
Esr1,0.143806,209,0
Slc9a1,0.143555,210,0
Btg1,0.142854,211,0
Clcn1,0.141467,212,0
Mid2,0.141460,213,0
Pls3,0.140598,214,0
Cenpj,0.139029,215,0
Arhgef28,0.138464,216,0
Spink10,0.137661,217,0
Kcnmb4,0.136921,218,0
Vwa5a,0.135526,219,0
Atp7a,0.135180,220,0
Acsl3,0.134901,221,0
Tpgs2,0.134213,222,0
Tesk2,0.134046,223,0
Sun2,0.133761,224,0
Dpy19l1,0.133742,225,0
Chn1,0.133255,226,0
Ptpn3,0.131867,227,0
Nkain1,0.131249,228,0
Zfp948,0.130794,229,0
Prrt4,0.130316,230,0
Atp6v1e1,0.130141,231,0
Pcsk1,0.130091,232,0
Pcolce2,0.129002,233,0
Phf11c,0.128907,234,0
Prex2,0.126625,235,0
Efnb3,0.125606,236,0
Rab8b,0.123859,237,0
Slco4c1,0.122997,238,0
Nadsyn1,0.122361,239,0
Tsc22d1,0.122065,240,0
Trappc10,0.120559,241,0
Otud7b,0.119930,242,0
Btrc,0.119030,243,0
Tspan33,0.118406,244,0
Cux1,0.116423,245,0
Ppie,0.116264,246,0
Stk10,0.115402,247,0
Tmem17,0.114739,248,0
Fgl2,0.113471,249,0
Thpo,0.113353,250,0
Msi1,0.113005,251,0
Gnl3l,0.112771,252,0
Gm3558,0.112748,253,0
Dennd3,0.112698,254,0
Prkcd,0.111524,255,0
Pkp2,0.111016,256,0
Gm3002,0.109140,257,0
Xirp2,0.108540,258,0
Sel1l,0.107629,259,0
Frmpd3,0.107231,260,0
Ifnar2,0.107048,261,0
Uck2,0.106312,262,0
Camkk1,0.106306,263,0
Crocc,0.105708,264,0
Arsb,0.104726,265,0
Gm45194,0.102761,266,0
1700001L19Rik,0.102325,267,0
Pnrc1,0.101221,268,0
Apba2,0.098870,269,0
Cerk,0.098802,270,0
Inip,0.097521,271,0
Atg7,0.097505,272,0
Sec11c,0.096651,273,0
Elovl5,0.095627,274,0
Snx11,0.095135,275,0
Kif5b,0.094622,276,1
Lpcat3,0.094515,277,0
Ppp6c,0.092348,278,0
Fads2,0.091735,279,0
Ppdpf,0.091360,280,0
Gm45740,0.091308,281,0
Mrps21,0.091157,282,0
Ddx19b,0.090916,283,0
Rfx5,0.089988,284,0
Carf,0.089570,285,0
Pym1,0.088923,286,0
Serinc5,0.087037,287,0
Gm45408,0.084784,288,0
Creg2,0.082691,289,0
Stk35,0.082349,290,0
Pacrg,0.079854,291,0
Lrrc51,0.079150,292,0
Wls,0.077967,293,0
Zfp974,0.077921,294,0
Zfp830,0.076618,295,0
Gm13938,0.076279,296,0
Sh3bgrl3,0.072514,297,0
Rara,0.071882,298,0
Traf3ip2,0.071257,299,0
Zfp131,0.070426,300,0
Nln,0.069396,301,0
Snd1,0.066047,302,0
1300017J02Rik,0.064343,303,0
Slc25a33,0.063342,304,0
Sfxn5,0.063093,305,0
Stard10,0.057164,306,0
Zfp354c,0.053525,307,0
Morc2a,0.049247,308,0
Fam189b,0.047482,309,0
Gm38948,0.046242,310,0
G6pc3,0.042160,311,0
Slc7a4,0.035475,312,0
Arl5b,0.034088,313,0
Rbm45,0.032905,314,0
Neat1,0.028690,315,0
Capn6,0.015371,316,0
