gene_name,kME,rank,in_kegg_dopaminergic_synapse
Mcc,0.602161,1,0
Tmem132d,0.583754,2,0
9530026P05Rik,0.571547,3,0
Slc1a2,0.557453,4,0
Dpp6,0.546503,5,0
Ext1,0.546304,6,0
Plekhg1,0.545203,7,0
Pde10a,0.527180,8,0
Pde1c,0.524914,9,0
Slit2,0.514230,10,0
Zbtb20,0.509406,11,0
Tacr3,0.498575,12,0
Kcnb2,0.487881,13,0
Sema5a,0.486819,14,0
Ccser1,0.486461,15,0
Bach2,0.483253,16,0
Ebf1,0.472082,17,0
Shisa9,0.467374,18,0
Cdk14,0.461325,19,0
Cadm1,0.457227,20,0
Etl4,0.439500,21,0
Neto2,0.432012,22,0
St6galnac5,0.428849,23,0
Csf2rb2,0.418839,24,0
Rasal2,0.414116,25,0
Adra1b,0.411626,26,0
Slco2a1,0.394797,27,0
Csf2rb,0.392629,28,0
Fut8,0.392318,29,0
Tcf12,0.377362,30,0
Cbln4,0.375361,31,0
Cacna1e,0.375313,32,0
Plcxd3,0.374443,33,0
Gsg1l,0.362093,34,0
Slc24a2,0.356345,35,0
Lpl,0.353530,36,0
Tmem207,0.342103,37,0
Gpr83,0.341965,38,0
Xkr4,0.341211,39,0
Tenm4,0.339587,40,0
Kirrel3,0.339349,41,0
Nkain3,0.330293,42,0
Pitpnm3,0.330249,43,0
Wscd1,0.330159,44,0
Gm42208,0.321873,45,0
Gm3173,0.318738,46,0
Maml3,0.312724,47,0
Gm10406,0.306406,48,0
Pigk,0.301123,49,0
Gab2,0.298555,50,0
Rgs7,0.295317,51,0
Zmiz1,0.286719,52,0
4930467D21Rik,0.283908,53,0
Rassf3,0.280574,54,0
Ttc28,0.279022,55,0
Chd7,0.278369,56,0
Gm3002,0.273577,57,0
Syt10,0.272868,58,0
Cps1,0.272238,59,0
Igf1r,0.270976,60,0
Pcsk5,0.270907,61,0
Mir670hg,0.269017,62,0
Stac,0.266834,63,0
Rere,0.265900,64,0
Smoc1,0.262707,65,0
Dpf3,0.258271,66,0
Plpp3,0.257110,67,0
Whrn,0.256802,68,0
Adamts9,0.254112,69,0
B3gat2,0.251123,70,0
Gabrg2,0.246658,71,0
Gm3739,0.246033,72,0
2610027F03Rik,0.242077,73,0
Ajap1,0.241622,74,0
Plppr5,0.239091,75,0
Sfmbt2,0.237465,76,0
Mllt3,0.234441,77,0
Usp12,0.231299,78,0
Cacna1d,0.230135,79,1
Zdhhc14,0.229653,80,0
St7,0.228660,81,0
Sik3,0.223687,82,0
Trhde,0.221274,83,0
Gm17171,0.219319,84,0
Rev3l,0.218611,85,0
Slc4a7,0.215962,86,0
Rab27a,0.215237,87,0
Frem2,0.213753,88,0
Gabra1,0.208108,89,0
Me3,0.207122,90,0
Ntrk2,0.203702,91,0
Rin2,0.199151,92,0
Tns3,0.194028,93,0
9530036O11Rik,0.191606,94,0
Nampt,0.190871,95,0
Entpd6,0.190408,96,0
Ptpn5,0.189787,97,0
Fmn2,0.187303,98,0
Tmcc1,0.182746,99,0
Sh3bp4,0.180337,100,0
Pkig,0.178793,101,0
Gm3696,0.178078,102,0
Gm3294,0.177808,103,0
Igdcc3,0.175818,104,0
Abcg2,0.174732,105,0
Lrrc1,0.174697,106,0
2610042L04Rik,0.173396,107,0
Nxph3,0.171460,108,0
Pgbd5,0.170269,109,0
1810041L15Rik,0.170013,110,0
Ntn4,0.167604,111,0
Comt,0.167441,112,1
Gm8237,0.165581,113,0
Paqr8,0.162478,114,0
Mgat4a,0.159712,115,0
Syt2,0.156913,116,0
Tmem131,0.153193,117,0
Nup210,0.152638,118,0
Psg16,0.152494,119,0
Sh3d19,0.150515,120,0
Rnpc3,0.146596,121,0
Prkag2,0.144436,122,0
Ccnd3,0.144252,123,0
BC005561,0.143753,124,0
Tmem65,0.143476,125,0
Rapgef4,0.137990,126,0
Pwwp2a,0.134078,127,0
Kdm4c,0.128624,128,0
Terf1,0.125344,129,0
Rasgrp1,0.111973,130,0
Slc7a5,0.094685,131,0
Sox4,0.093080,132,0
