gene_name,kME,rank,in_kegg_dopaminergic_synapse
Hs6st3,0.706025,1,0
Sorcs1,0.640051,2,0
Negr1,0.579229,3,0
Tshz2,0.574438,4,0
Zfp804a,0.564116,5,0
Tnr,0.561816,6,0
Vip,0.548200,7,0
Frmd5,0.534169,8,0
Phactr1,0.527711,9,0
Kcnh7,0.524661,10,0
Pak7,0.521336,11,0
Rit2,0.511510,12,0
Usp29,0.507110,13,0
Gm26883,0.502141,14,0
Ptprg,0.500594,15,0
Ephb1,0.497137,16,0
Kcnh5,0.487573,17,0
Lrp1b,0.485242,18,0
Alcam,0.478626,19,0
Unc5d,0.471119,20,0
Grm8,0.470477,21,0
Chsy3,0.461120,22,0
Kctd8,0.455017,23,0
Pou2f2,0.454072,24,0
Gucy1a2,0.452063,25,0
Zfhx3,0.449311,26,0
Pik3r1,0.449025,27,0
Baiap3,0.449006,28,0
Cacna2d1,0.448440,29,0
Ptprd,0.444250,30,0
Arhgap26,0.443525,31,0
Tcf4,0.443120,32,0
Cpne8,0.436985,33,0
Pde1a,0.431221,34,0
Thsd7a,0.430999,35,0
Pde10a,0.430858,36,0
Cck,0.430292,37,0
Cadm1,0.426767,38,0
Atp8a1,0.425915,39,0
Arhgap6,0.424475,40,0
Klf12,0.424370,41,0
Kcnb2,0.419753,42,0
Ebf1,0.419712,43,0
Gzmk,0.419285,44,0
Prkar2b,0.416374,45,0
Mgat5,0.414187,46,0
Cdh2,0.411553,47,0
Kcnk9,0.402455,48,0
Gm15261,0.401767,49,0
Lepr,0.400654,50,0
Kcnd2,0.398472,51,0
Asic2,0.397533,52,0
Gm12239,0.395831,53,0
Gipr,0.392191,54,0
Rorb,0.390625,55,0
Plxna4,0.390569,56,0
Nbea,0.389655,57,0
Dscam,0.383902,58,0
Ptprn2,0.380971,59,0
Tead1,0.380483,60,0
Hs3st4,0.378616,61,0
Rasgef1b,0.371202,62,0
Ppfibp2,0.369891,63,0
Dock4,0.369204,64,0
Sulf2,0.366560,65,0
Ptpru,0.363458,66,0
Maml3,0.355766,67,0
Gnas,0.354642,68,1
Crim1,0.348650,69,0
Zim1,0.347690,70,0
Kcnh1,0.347033,71,0
Vav2,0.346932,72,0
Glra1,0.344887,73,0
Ahi1,0.343996,74,0
Sorcs2,0.342470,75,0
Exoc4,0.341837,76,0
Gm42303,0.339416,77,0
Pde4b,0.338197,78,0
Ppp3ca,0.333436,79,1
Hunk,0.332814,80,0
Prlr,0.332053,81,0
Tanc2,0.328334,82,0
Syn2,0.326220,83,0
Kcnh8,0.324114,84,0
Stk32b,0.322944,85,0
Cdh23,0.322883,86,0
