gene_name,kME
Tmem132d,0.626699545424926
Plekhg1,0.610290447619071
Mcc,0.598744198133538
Tacr3,0.579559675139969
Aldh1a1,0.564652254701437
Slc1a2,0.55978135537242
Dpp6,0.533755117638505
Ccser1,0.486254741169772
Dcc,0.468264750184392
Etl4,0.454336349064567
Eya1,0.454087932847341
Erbb4,0.452845598700095
Dgki,0.4370786838835
Slco2a1,0.422673337717289
Ctnna1,0.417231901830992
Fut8,0.410897763882087
Adra1b,0.403040860762483
Cbln4,0.400155381289357
Neto2,0.399458878698573
Gsg1l,0.398266261399485
Cpq,0.391006859795096
Csmd1,0.379824894492096
St6galnac5,0.379446210737665
Cacna1e,0.379003564931026
Csf2rb2,0.370671551613404
Nkain3,0.362455671429756
Tcf12,0.361911072657654
Csf2rb,0.34815541897709
Neurod6,0.341618154177069
Grp,0.339413232839432
Prdm8,0.336252765936326
Gm10406,0.334380690658008
4933406F09Rik,0.333212316188373
Gm3173,0.331964109161089
Gpr83,0.33071039589831
Nrcam,0.330638053952942
Dab2,0.327100894773095
Antxr2,0.326602561039593
Lpl,0.326555443560511
Gm2237,0.323060653990887
Tmem207,0.320214846963295
Gabrb2,0.313139168722883
Trpc4,0.310300099870043
Gm42208,0.305644007377776
Zfp385b,0.304869250921686
Adgrv1,0.304761225606655
Sv2b,0.30441186717001
Pitpnm3,0.303362273793165
Gm3002,0.302608963440008
Sntg1,0.300599612127407
Wscd1,0.300386647050958
Cacnb2,0.299893748419943
Hcrtr2,0.293965793080713
E130308A19Rik,0.287198142278676
Gm3264,0.286572069445569
Cdh6,0.283972033514657
4930467D21Rik,0.283363931194839
Magi1,0.281570192198969
Ptpru,0.281492809242168
Pigk,0.280251446729869
Wipf3,0.276575700633769
Cps1,0.275218583899828
Mir670hg,0.270535136288221
Kif16b,0.266784821364598
Nfib,0.26596643280079
Gab2,0.26529214246278
Cacna1d,0.264843085744285
Zmiz1,0.262441422708168
Rassf3,0.261458869222946
Ajap1,0.260961337814659
Usp12,0.259496638873097
Syt10,0.259460790880912
B3gat2,0.255750424860435
Lrrc4c,0.254936687148856
Nedd4l,0.254545136320206
Adamts9,0.254001074273565
Igf1r,0.253013312930632
Rere,0.251805806590847
Mllt3,0.251200925054724
St7,0.25028272344802
Rgs7,0.247033228694239
Plpp3,0.24448557531011
Tgfbr3,0.242476411548865
Gm2974,0.240791345058343
Prkce,0.240315239462647
Gm3248,0.23851075319315
Unc13b,0.237258439733012
Gm3739,0.234379917474064
A930012L18Rik,0.231477488205915
Strip2,0.229806986745126
Gm3488,0.22705840634875
Gabrg2,0.226967916428219
Ttc28,0.22693903165595
Trhde,0.226585346348745
Gm17171,0.225237421114555
Ntrk2,0.220736918283515
Gm3411,0.22030983580203
Rev3l,0.219112625364509
Pantr1,0.217626915762435
Dlg1,0.217481627928011
Sfmbt2,0.217069622085904
Gm8281,0.216363641016622
Tiam2,0.211868181174874
Ubr4,0.209888326152442
Sik3,0.209751117884027
Gabra1,0.209260687471449
AC162302.1,0.209006882348668
Eef2k,0.208425611427541
Slc4a7,0.208078049670464
Ppp1r14c,0.206256886593839
Cldn34c1,0.204082674745035
Grk5,0.203756996645654
Whrn,0.202285225382732
Gm3252,0.201910982218187
Gm3696,0.200465076543309
Smarca1,0.195527031541964
Igdcc3,0.195427224014994
Scn9a,0.193587971283696
1700111E14Rik,0.193413814958366
Tmcc1,0.191381067450831
Hcn1,0.191183427295917
Gm3667,0.189944152210968
Entpd6,0.188968443942608
Fmn2,0.18894211019934
Phka1,0.185793419606889
Tspan5,0.185573192138997
Ptpro,0.185045975035192
Smoc1,0.184203375102276
Gm3164,0.183482431238356
Me3,0.182177341690835
Frem2,0.182039017080487
Dhfr,0.179169643770436
2610042L04Rik,0.175726005053819
Gm8237,0.174500218575816
1810041L15Rik,0.173650847234621
Sh3bp4,0.173054879763454
Cdc14a,0.17280867687082
Srgap3,0.172641705823513
1700003F12Rik,0.172178677694534
Tmem266,0.171952504585215
Comt,0.169394170594479
Pgbd5,0.16814880466033
Tcte2,0.165619030838037
Gprin3,0.165053377126402
Acss1,0.164112589494913
Nampt,0.163172744190406
Nxph3,0.157441434761187
Dip2b,0.157317046523799
Neo1,0.156976170597405
Pcmtd1,0.156055425936563
Gm15679,0.156019041138552
Abr,0.155453795182633
Tns3,0.154649141991339
Lnx1,0.150436598089474
Napepld,0.150142868599182
Fam210b,0.148231608820272
Gfod1,0.147772034164005
Mgat4a,0.147515553139799
Rnpc3,0.146315791488064
Ntn4,0.145787012142491
Gm48877,0.144867348586157
Fam13a,0.14446881878141
Rb1,0.144265139738521
Sh3d19,0.142132461235984
Als2,0.140113582111645
Miat,0.138147590547784
Prkag2,0.138118890391671
Opn3,0.134661185765597
Herc3,0.134371846567963
Paqr3,0.132598130781526
Cpeb4,0.131224089588022
Paqr8,0.128826105994485
Gm5535,0.12536401183753
Ptprj,0.124598819231545
Fgd4,0.124307077606374
Gm13944,0.124231116071171
Sema3e,0.122613591418587
Snx7,0.122303054637976
Pou3f3,0.122236901359539
9530036O11Rik,0.119424137643189
Fsip1,0.114153422822876
Mrln,0.112392750105507
Cdk5rap2,0.11065270854732
Nfix,0.108776061568102
Megf9,0.0987408764043868
Spag6l,0.0980909780308116
Lpcat1,0.0937794197402643
Ccnd2,0.0786474054616799
Lancl1,0.0712953617741931
Zfp182,0.0593979602829161
Zfp280c,0.0499819117734088
