"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","module"
3.88585343913322e-109,-2.33133508546238,0.261,0.556,5.4401948147865e-108,"brown"
1.26461865227955e-49,-1.69890328415037,0.349,0.544,1.77046611319136e-48,"purple"
1.00089804441608e-41,0.843963590547775,0.585,0.404,1.40125726218251e-40,"blue"
1.2847375241589e-40,-1.6125087886401,0.351,0.519,1.79863253382246e-39,"magenta"
1.39636540017004e-30,-5.6828286365354,0.537,0.373,1.95491156023805e-29,"pink"
1.56381550031907e-28,-0.601310516256767,0.362,0.517,2.1893417004467e-27,"greenyellow"
2.80098952553942e-23,1.34214306500247,0.486,0.362,3.92138533575518e-22,"turquoise"
3.76712218902549e-16,0.948515860877604,0.244,0.353,5.27397106463569e-15,"black"
6.67324968274376e-08,-0.647027993430696,0.384,0.451,9.34254955584127e-07,"tan"
1.57592231749082e-06,-1.23069552906873,0.345,0.411,2.20629124448715e-05,"green"
5.09631402011675e-05,0.346722800598323,0.497,0.44,0.000713483962816344,"yellow"
0.000408639681556636,-0.17295808436101,0.301,0.354,0.0057209555417929,"red"
0.00439171262965039,0.348848575779181,0.44,0.486,0.0614839768151054,"cyan"
0.0198566787523484,-0.272414048456372,0.468,0.493,0.277993502532878,"salmon"
