"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.090714957935495,12.3240580199856,0.929006673981246,6245.67887969376,6250.67760271653,6669.8007138014
2,0.0672167085299656,-5.50809360893196,0.978160410975355,3192.46861206643,3183.36287045629,3735.43533791959
3,0.433381343122659,-9.73307916324955,0.892227296197556,1647.30487583265,1629.51389477595,2158.92243717866
4,0.8515514991701,-10.7817616897195,0.963999549424633,858.184854636414,839.26373227824,1286.62342667394
5,0.906733432561706,-8.52081289768713,0.972686364644414,451.563662597144,436.027106087037,787.260554492971
6,0.943792001735181,-6.99335195776696,0.986455161192622,240.140235795752,228.170493504228,493.779337845662
7,0.964484766600085,-5.93148103379365,0.993986759786878,129.181313713347,120.139475707347,320.536753244889
8,0.968829634282888,-5.13232230589949,0.996838891162024,70.3738717588037,63.6363752664566,213.674527540977
9,0.965824614994876,-4.50571473335809,0.994442280706196,38.8773954126339,33.945597769751,145.875394100096
10,0.966765565084918,-3.99161036312788,0.996584555328554,21.8151947924391,18.1882883181026,101.816464593173
12,0.949646197032425,-3.26951195148862,0.99048970772408,7.2518889236099,5.32169946425489,52.629812934588
14,0.932944406483702,-2.73998560773451,0.985473800688788,2.62606532065392,1.5920572686255,29.105548553318
16,0.950432678131354,-2.27876346414491,0.996676630838688,1.05024589084541,0.487312819018472,17.007486481744
18,0.91818111607579,-2.1417744412739,0.992565782322448,0.466964058848367,0.152755754600587,11.6499369354544
20,0.889990785515188,-2.04491964363849,0.96871801109346,0.230027348566724,0.0490568768351488,8.57458720841037
22,0.414213856591302,-2.51942742653212,0.350652140381686,0.12406290814877,0.0161604645363919,6.46329644520601
24,0.423051870309505,-2.381250333713,0.364387626850451,0.0721406377759799,0.00543401396090393,4.96257425282222
26,0.455132241813157,-2.32500460368387,0.47357113792627,0.0445665458426548,0.00186792717224793,3.86693904507434
28,0.460949645842485,-2.24270664154067,0.478675831677374,0.0289022636125704,0.000654135789742272,3.04995014746558
30,0.466576928516453,-2.18375256186071,0.482200789676093,0.0195000755633582,0.000230057086552327,2.43020967944062
