"gene1","gene2","tom"
"Cacna1d","Kcnj6",0.121816748693315
"Cacna1d","Drd2",0.143821184005175
"Cacna1d","Gabbr2",0.08777655411608
"Cacna1d","Nr4a2",0.112116877113685
"Cacna1d","Kcnn3",0.131468086822601
"Cacna1d","Klhl1",0.121315521798407
"Cacna1d","Robo2",0.127063128169187
"Cacna1d","Rgs6",0.125508663062383
"Cacna1d","Pbx1",0.121928045285237
"Cacna1d","9530059O14Rik",0.129605634415675
"Cacna1d","Nos1ap",0.134159840243092
"Cacna1d","Frmd4b",0.131414844565997
"Cacna1d","Pex5l",0.126605900658455
"Cacna1d","Sgcz",0.133177123029694
"Cacna1d","Csmd1",0.122652972565873
"Cacna1d","Elavl2",0.12454543791888
"Cacna1d","Adarb2",0.122488104154401
"Cacna1d","Zfhx3",0.134815371989011
"Cacna1d","Col25a1",0.123037548729194
"Cacna1d","Slc35f1",0.112372763298808
"Kcnj6","Drd2",0.217969724236685
"Kcnj6","Gabbr2",0.179143077481176
"Kcnj6","Nr4a2",0.18199765051175
"Kcnj6","Kcnn3",0.191640533535582
"Kcnj6","Klhl1",0.20804200152118
"Kcnj6","Robo2",0.214245578884779
"Kcnj6","Rgs6",0.21078162807441
"Kcnj6","Pbx1",0.206601227086188
"Kcnj6","9530059O14Rik",0.218359931957535
"Kcnj6","Nos1ap",0.221016180761895
"Kcnj6","Frmd4b",0.221186449657394
"Kcnj6","Pex5l",0.201191010905794
"Kcnj6","Sgcz",0.172618572687872
"Kcnj6","Csmd1",0.196709060012397
"Kcnj6","Elavl2",0.211112245146559
"Kcnj6","Adarb2",0.186177948367456
"Kcnj6","Zfhx3",0.184672085545251
"Kcnj6","Col25a1",0.196062475051489
"Kcnj6","Slc35f1",0.187669916803493
"Drd2","Gabbr2",0.187433888869594
"Drd2","Nr4a2",0.200282895782468
"Drd2","Kcnn3",0.211735466586191
"Drd2","Klhl1",0.216018001662378
"Drd2","Robo2",0.224398856022948
"Drd2","Rgs6",0.215471295017382
"Drd2","Pbx1",0.215708957960578
"Drd2","9530059O14Rik",0.222253085451165
"Drd2","Nos1ap",0.225102473161212
"Drd2","Frmd4b",0.225045291347916
"Drd2","Pex5l",0.214267890623188
"Drd2","Sgcz",0.198182519082805
"Drd2","Csmd1",0.214560923205097
"Drd2","Elavl2",0.215478681719434
"Drd2","Adarb2",0.20652824086162
"Drd2","Zfhx3",0.209210378776016
"Drd2","Col25a1",0.206137374008031
"Drd2","Slc35f1",0.208746567073576
