gene_name,kME
Klhl1,0.825506974150434
Robo2,0.816670395601265
Rgs6,0.807456752262193
Pbx1,0.801701079132652
Kcnj6,0.80121944566059
9530059O14Rik,0.797789040107614
Nos1ap,0.796791338272042
Frmd4b,0.79262863944385
Pex5l,0.792304539197531
Sgcz,0.784624987434538
Csmd1,0.779806616925885
Elavl2,0.771715400848824
Adarb2,0.769366878510793
Zfhx3,0.766698494913734
Col25a1,0.765192906357066
Slc35f1,0.761846561133162
Cadm2,0.761640148502095
Erc2,0.748566295166178
Vwc2l,0.738674992656715
Drd2,0.737542929146947
Cntn4,0.727300259041063
Nwd2,0.721500595157067
Fam184a,0.719016160064491
Robo1,0.718292801577438
Adamtsl1,0.715845470046584
Galntl6,0.700303972420928
Bnc2,0.695673810901334
Prkca,0.692319693282914
Anks1b,0.691127579953171
Dpp10,0.690864823475143
Meg3,0.688408462856124
Pcdh15,0.685751331651895
Kcnd3,0.683509403667931
Kcnn3,0.68093540693638
Slc6a3,0.67934479699404
Pbx3,0.678024599502523
Nkain2,0.665201911756733
Nrxn3,0.663665678166338
Elavl4,0.663609368254306
Lrrc3b,0.663156030268907
Clstn2,0.655473868553416
Brinp1,0.648480658513165
Cadps2,0.646199078594174
4930419G24Rik,0.639744964650007
Sgcd,0.639689092943498
Kcns3,0.637895632850884
A230006K03Rik,0.637492113390518
Il1rap,0.63430239819547
Sncaip,0.633928398283309
Cdh11,0.63108593698617
Mir124a-1hg,0.630824804880484
Slc35f4,0.62902340924363
Spats2l,0.625770206262624
Sv2c,0.624965551786929
Epha4,0.622808244868162
Kif26b,0.620164042477154
Satb1,0.619842027477884
Hecw2,0.617999589239152
Grm5,0.616864988698783
Lix1,0.613280469420919
Dab1,0.611254490735916
Dcc,0.609448340964834
Cplx1,0.609186927082129
Msi2,0.608430048843218
Kcnq3,0.608377792450686
Cdh20,0.607134922577625
Rbms3,0.605161483949684
Cntn6,0.603789516975983
Grip2,0.603002278669483
Erbb4,0.599656944361743
Rims1,0.594728046627414
Apba1,0.592510651932794
Nrg1,0.5890446252551
Immp2l,0.586918577162872
Ptpru,0.586650385346697
Malat1,0.58657253462812
Caln1,0.586275095664411
Gm26905,0.57795273617352
Cdh18,0.576501002300269
Serpine2,0.572516015250347
Epha10,0.570622917520222
Cntnap4,0.565124931657551
Ncam1,0.564992854038394
Cadps,0.564655949408964
Plxna4,0.563626553838535
Ntn1,0.558592799539266
Tmtc2,0.553818144385349
Mob3b,0.548124723579426
Srgap1,0.547483817647271
Tll1,0.545472471798646
Gria3,0.545314545523375
Lrmda,0.544356304998357
Ret,0.544348616883577
Rreb1,0.543539551015004
St6gal2,0.542623189532281
Ldlrad4,0.541111559399337
Ddc,0.540135152172347
Clvs1,0.53845845110131
St6galnac5,0.53742084685443
Tenm1,0.536681037739857
Bach2,0.536510969357606
Rcan2,0.534914642422242
Fmn1,0.532987508355281
March1,0.530859527653674
Sv2b,0.530187249553843
Ccdc171,0.527110653847335
Syt17,0.526785830987273
Lrfn5,0.526767214989389
Kcnb2,0.525347994418172
Tmem117,0.524465088501513
Tmem132b,0.517370415186249
Mpp6,0.51560986900319
Ptprz1,0.513921264304881
Plcb4,0.510934811736537
Cux2,0.510755684242183
Ttc6,0.509565047564637
Gm37459,0.507366515282661
Rapgef5,0.503315564947608
Dgki,0.502480916535132
Epha6,0.500349904773062
Pid1,0.500193659373126
Etv5,0.500004790436001
Pou3f2,0.494527396631117
Grk3,0.492657459092715
Atxn1,0.491768670939069
Msra,0.486692788026598
Vav3,0.481844726119766
Gm26936,0.479373798821526
Auts2,0.478960685315902
Macrod2,0.477762288857773
Gabbr2,0.477104512760785
Gsg1l,0.477032878443878
Csmd3,0.476987056310273
AC165271.1,0.476264737951166
Prr16,0.474643136990531
Ndnf,0.474622907825444
Chrnb3,0.474529968570872
Fam189a1,0.474278421777007
Cdh8,0.473942030463759
