"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Anterograde Trans-Synaptic Signaling (GO:0098916)","9/199",6.94852204112129e-07,0.000371183500057761,0,0,10.2596876807403,145.477925481921,"CHRM3;UNC13C;GABRB2;GRIN2A;DTNA;GRM7;SLC1A2;OPRK1;GRIN2B","GO_Biological_Process_2023","yellow"
"Chemical Synaptic Transmission (GO:0007268)","10/273",1.11970889911843e-06,0.000371183500057761,0,0,8.29615547106041,113.677587654803,"CHRM3;UNC13C;GABRB2;GABRA1;GRIN2A;DTNA;GRM7;SLC1A2;OPRK1;GRIN2B","GO_Biological_Process_2023","yellow"
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)","5/55",8.0607185019985e-06,0.00178141878894167,0,0,20.8947368421053,245.064085311388,"GRIN2A;CDH2;GRM7;CACNG3;GRIN2B","GO_Biological_Process_2023","yellow"
"Second-Messenger-Mediated Signaling (GO:0019932)","5/72",3.03149606979053e-05,0.00502470473567781,0,0,15.5797329143755,162.089503644211,"CHRM3;RYR2;DDAH1;PLCG2;MCU","GO_Biological_Process_2023","yellow"
"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)","3/22",0.000174309995477304,0.0231135054002905,0,0,32.3619099294628,280.081821254999,"GRIN2A;GRIN2B;CACNG3","GO_Biological_Process_2023","yellow"
"Cell-Cell Adhesion Mediated By Cadherin (GO:0044331)","3/26",0.000290049387363004,0.0303680659270192,0,0,26.7283729269386,217.714875120753,"CDH4;CDH2;CDH7","GO_Biological_Process_2023","yellow"
"Synaptic Transmission, Glutamatergic (GO:0035249)","3/27",0.000325124352919345,0.0303680659270192,0,0,25.6134020618557,205.708988323138,"UNC13C;GRIN2A;GRIN2B","GO_Biological_Process_2023","yellow"
"Excitatory Chemical Synaptic Transmission (GO:0098976)","2/6",0.000366432168048497,0.0303680659270192,0,0,101.510204081633,803.117990717184,"GRIN2A;GRIN2B","GO_Biological_Process_2023","yellow"
"Synapse Assembly (GO:0007416)","4/71",0.00044219543361385,0.0325750636095536,0,0,12.3339552238806,95.2644929311874,"GABRB2;GABRA1;CDH2;DSCAM","GO_Biological_Process_2023","yellow"
"Glutamate Receptor Signaling Pathway (GO:0007215)","3/35",0.000706715904482267,0.0390460537226452,0,0,19.2023195876289,139.310558994682,"GRIN2A;GRM7;GRIN2B","GO_Biological_Process_2023","yellow"
"Adherens Junction Organization (GO:0034332)","3/35",0.000706715904482267,0.0390460537226452,0,0,19.2023195876289,139.310558994682,"CDH4;CDH2;CDH7","GO_Biological_Process_2023","yellow"
"Regulation Of Postsynaptic Membrane Potential (GO:0060078)","3/35",0.000706715904482267,0.0390460537226452,0,0,19.2023195876289,139.310558994682,"GABRA1;GRIN2A;GRIN2B","GO_Biological_Process_2023","yellow"
