"gene1","gene2","tom"
"Cacna1d","Kcnj6",0.134060128940747
"Cacna1d","Drd2",0.116906070012543
"Cacna1d","Gabbr2",0.14037098228434
"Cacna1d","Nr4a2",0.118792959456767
"Cacna1d","Kcnn3",0.133611497852621
"Cacna1d","Slc35f1",0.125983793872343
"Cacna1d","Sgcz",0.139946476514128
"Cacna1d","Pbx1",0.0990644894736324
"Cacna1d","Pex5l",0.128766875136239
"Cacna1d","Zfhx3",0.098756339019771
"Cacna1d","Galntl6",0.125703211242141
"Cacna1d","Nos1ap",0.116275708720492
"Cacna1d","Vwc2l",0.10383466547852
"Cacna1d","Elavl2",0.130173784089479
"Cacna1d","Frmd4b",0.108539058094439
"Cacna1d","Adarb2",0.0894371269200909
"Cacna1d","Robo1",0.0980280205641737
"Cacna1d","Cadm2",0.134855878113572
"Cacna1d","Nkain2",0.119836068011917
"Cacna1d","Erc2",0.11519849102526
"Kcnj6","Drd2",0.226390074970323
"Kcnj6","Gabbr2",0.179698329692287
"Kcnj6","Nr4a2",0.228144165148479
"Kcnj6","Kcnn3",0.236370443485472
"Kcnj6","Slc35f1",0.23927776764615
"Kcnj6","Sgcz",0.232660490889186
"Kcnj6","Pbx1",0.212222949245734
"Kcnj6","Pex5l",0.24149624615451
"Kcnj6","Zfhx3",0.205522281151575
"Kcnj6","Galntl6",0.1823529233733
"Kcnj6","Nos1ap",0.24766940212095
"Kcnj6","Vwc2l",0.222819846330212
"Kcnj6","Elavl2",0.238959155034197
"Kcnj6","Frmd4b",0.233087979897917
"Kcnj6","Adarb2",0.204157245488526
"Kcnj6","Robo1",0.195861950722563
"Kcnj6","Cadm2",0.229658217175335
"Kcnj6","Nkain2",0.203751755110835
"Kcnj6","Erc2",0.220421905747829
"Drd2","Gabbr2",0.195143927576306
"Drd2","Nr4a2",0.232753977196611
"Drd2","Kcnn3",0.244910639262261
"Drd2","Slc35f1",0.253255501190635
"Drd2","Sgcz",0.223269513367831
"Drd2","Pbx1",0.243098110236428
"Drd2","Pex5l",0.230043139941094
"Drd2","Zfhx3",0.239426464537357
"Drd2","Galntl6",0.200497273161009
"Drd2","Nos1ap",0.242366571572729
"Drd2","Vwc2l",0.242496787744248
"Drd2","Elavl2",0.236826340337962
"Drd2","Frmd4b",0.249500134857578
"Drd2","Adarb2",0.240254148688092
"Drd2","Robo1",0.233707590750495
"Drd2","Cadm2",0.223849609244433
"Drd2","Nkain2",0.217732271274148
"Drd2","Erc2",0.239053335761751
"Gabbr2","Nr4a2",0.187367714475113
"Gabbr2","Kcnn3",0.191759542375216
"Gabbr2","Slc35f1",0.194586050687608
"Gabbr2","Sgcz",0.177140235097413
"Gabbr2","Pbx1",0.189169320241078
"Gabbr2","Pex5l",0.18331563119057
"Gabbr2","Zfhx3",0.187485666330146
"Gabbr2","Galntl6",0.183950845120045
"Gabbr2","Nos1ap",0.183029487434707
"Gabbr2","Vwc2l",0.18252562626365
"Gabbr2","Elavl2",0.186103581030486
"Gabbr2","Frmd4b",0.191412025067378
"Gabbr2","Adarb2",0.180363523510832
"Gabbr2","Robo1",0.187166407462562
"Gabbr2","Cadm2",0.183106679229029
"Gabbr2","Nkain2",0.186201377485658
"Gabbr2","Erc2",0.191728020146521
"Nr4a2","Kcnn3",0.238772705074114
"Nr4a2","Slc35f1",0.245692460141834
"Nr4a2","Sgcz",0.222894649922255
"Nr4a2","Pbx1",0.216000112896325
"Nr4a2","Pex5l",0.225306476669019
"Nr4a2","Zfhx3",0.204825149152981
"Nr4a2","Galntl6",0.192951958148368
"Nr4a2","Nos1ap",0.22798677234472
"Nr4a2","Vwc2l",0.205191010149616
"Nr4a2","Elavl2",0.235151731808155
"Nr4a2","Frmd4b",0.230758558583396
"Nr4a2","Adarb2",0.199264249885444
"Nr4a2","Robo1",0.20054844930693
"Nr4a2","Cadm2",0.22245659638774
"Nr4a2","Nkain2",0.19548925075268
"Nr4a2","Erc2",0.229390532480891
"Kcnn3","Slc35f1",0.243579350449853
"Kcnn3","Sgcz",0.224836423970756
"Kcnn3","Pbx1",0.237559670090544
"Kcnn3","Pex5l",0.241172098711698
"Kcnn3","Zfhx3",0.233291526639648
"Kcnn3","Galntl6",0.205063627768499
"Kcnn3","Nos1ap",0.248830109896308
"Kcnn3","Vwc2l",0.244365115020333
"Kcnn3","Elavl2",0.234506729540224
"Kcnn3","Frmd4b",0.250178726943067
"Kcnn3","Adarb2",0.232295168500843
"Kcnn3","Robo1",0.228601748185785
"Kcnn3","Cadm2",0.228697720622693
"Kcnn3","Nkain2",0.223884695435892
"Kcnn3","Erc2",0.243150864954276
"Slc35f1","Sgcz",0.226038171557033
"Slc35f1","Pbx1",0.249961939728694
"Slc35f1","Pex5l",0.24548242648627
"Slc35f1","Zfhx3",0.244907354767212
"Slc35f1","Galntl6",0.212936929944233
"Slc35f1","Nos1ap",0.256269875707872
"Slc35f1","Vwc2l",0.255424991562051
"Slc35f1","Elavl2",0.238598502960543
"Slc35f1","Frmd4b",0.26058265775538
"Slc35f1","Adarb2",0.246761938684696
"Slc35f1","Robo1",0.241118981311585
"Slc35f1","Cadm2",0.23252915631314
"Slc35f1","Nkain2",0.233049919317053
"Slc35f1","Erc2",0.252803990625811
"Sgcz","Pbx1",0.208961947335727
"Sgcz","Pex5l",0.233578085485595
"Sgcz","Zfhx3",0.203788488931269
"Sgcz","Galntl6",0.187809151218053
"Sgcz","Nos1ap",0.236711749781127
