gene_name,kME
Slc35f1,0.782797394588805
Sgcz,0.774198321068623
Pbx1,0.759378076363605
Pex5l,0.758622235174221
Kcnj6,0.75150827262029
Zfhx3,0.737066532037102
Galntl6,0.735566724852243
Nos1ap,0.728166436328507
Vwc2l,0.727375288477146
Elavl2,0.727281261967661
Frmd4b,0.726704120310211
Adarb2,0.726558532104674
Robo1,0.724780415708356
Cadm2,0.720383132554011
Nkain2,0.705300930764742
Erc2,0.705226758524457
Klhl1,0.703545159651558
Dpp10,0.701097740805663
Slc6a3,0.694543656095681
Csmd1,0.688422753661503
Grm5,0.687571334155849
4930419G24Rik,0.684679053691454
Nrg1,0.684487782541943
Lix1,0.683385773858077
Drd2,0.682849914018363
Col25a1,0.680822810041497
Bnc2,0.678554092872119
Ptpru,0.678491564029743
Kcns3,0.677919746790038
Nwd2,0.676285484644859
Cadps2,0.672678228624853
Mob3b,0.672457020711931
Tll1,0.672359213729103
Cntn4,0.668110916032156
Spats2l,0.667244952222845
Lrrc3b,0.665996745824702
Kcnn3,0.663647707234613
Gm26905,0.663646360920075
Erbb4,0.662461345503157
Cdh18,0.661042940867962
Epha10,0.656562470316339
Epha4,0.655014279566669
Meg3,0.653912677830152
Elavl4,0.651352697364993
9530059O14Rik,0.647064668028824
Il1rap,0.645654542712046
Grip2,0.642774298501856
Pbx3,0.640502328257126
Cntn6,0.638023596531776
Adamtsl1,0.635219020945945
Kcnd3,0.635189080400673
A230006K03Rik,0.634160484639669
Rreb1,0.630510634592464
Pcdh15,0.630307491884638
Fam184a,0.628154989787676
Etv5,0.621698950036505
Sv2b,0.62131104749393
Cdh11,0.621125346034987
Sncaip,0.618831861180014
Slc35f4,0.616515182289419
Satb1,0.610954159830338
St6galnac5,0.604666006381944
Epha6,0.603505829088738
Clstn2,0.599315606915311
Brinp1,0.598335203931576
Mir124a-1hg,0.598267967417311
Sgcd,0.596321528871325
Chrnb3,0.595464789453337
Dcc,0.595396115931027
Pou3f2,0.59535345983047
Cntnap4,0.5898316935943
Gm26936,0.587006352073935
Ptprz1,0.586778923521287
Anks1b,0.584929372655641
Cplx1,0.583782438922313
St6gal2,0.58349735515862
Gria3,0.582164010886536
Lrmda,0.57910442006767
Sdk1,0.574810810805399
Gm37459,0.570450405887305
Prkca,0.570195598619957
Msi2,0.568116279632436
Prr16,0.561674935261057
Rims1,0.559104791216706
Tmem132b,0.55838817387045
Kcnb2,0.5573946561765
En1,0.555977136929016
St6galnac3,0.555881907129213
AC165271.1,0.555647772145212
Lrfn5,0.551555623193527
Fat3,0.550173957997366
Rapgef5,0.548781441414078
Caln1,0.548730422540103
Gm26873,0.548255506711102
Tmtc2,0.548026036785206
Gm15398,0.547023305742786
Kif26b,0.545740866977814
Fam189a1,0.545548292776824
Dab1,0.544808657767028
Plxna4,0.543733514769039
Sphkap,0.543526811944983
Ret,0.542809092727901
Ccdc171,0.542595203397982
Mcc,0.541821169238868
Tenm1,0.541318949309781
Serpine2,0.53928736804692
Apba1,0.536090231460466
Agk,0.534431643210074
Gsg1l,0.532561551951361
9030622O22Rik,0.532182442664687
Rbms3,0.531924431962466
Pid1,0.531390509949096
Igf1,0.53032548430021
Ubash3b,0.52499411287353
Hecw2,0.520536023448088
Gabbr2,0.519765473022749
3300002A11Rik,0.519764016845365
Igsf21,0.518702869724371
Nr4a2,0.517319727102124
Immp2l,0.513984135975066
CT025619.1,0.512915006244389
Csmd3,0.511763462939543
Ndnf,0.510540856489516
Ldlrad4,0.509290423714924
Chrna6,0.506592997119584
Cux2,0.504176634686675
Celf2,0.503958453556083
Msra,0.503347077118155
Ryr3,0.501983350082943
Grm1,0.501762004706865
Prkd1,0.501478238693051
Pigk,0.496565732102066
Tox3,0.495625422403599
Macrod2,0.495454878222676
Syt17,0.493019069850554
Ptprg,0.492920526266519
Zfp804a,0.492204577421482
Lama3,0.492117579523965
Grk3,0.491466179245731
Gm21949,0.490964736333145
Cnksr2,0.488259637726867
Slc18a2,0.487674836866822
Ddc,0.486258132559468
Auts2,0.485553678145509
Rcan2,0.484700629685058
Bach2,0.483701512193365
Tigar,0.479974941561062
Trpm3,0.476044495055171
Lncbate1,0.475284182548057
Osbpl3,0.471493334439162
Cdh10,0.469058830183146
Palmd,0.466019009102417
Rerg,0.465387333356479
Zswim5,0.464871357478392
Ptpn5,0.463884156210032
Cyth1,0.46374679992991
Ntsr1,0.462888908919986
Wasf3,0.461828491387709
Prima1,0.461561139793679
Garnl3,0.45757002710596
Esrrg,0.455026700420004
Tmem117,0.454459101445755
4921534H16Rik,0.451201116781749
Nlgn1,0.450933503258567
Mboat1,0.450421546195279
Clgn,0.450018270329998
Cadps,0.449959069019732
Bsn,0.448781532602559
Syt7,0.445198350600418
Gpr26,0.444376090426292
Gm16083,0.442587609418269
Mirg,0.440341835423941
Kank4,0.438251926306946
1700042O10Rik,0.436973289393686
Fam210b,0.436624911540632
Lmo4,0.435955778670582
Ubr4,0.43476433859918
Crhr1,0.434462797480682
Foxp2,0.432470233117349
Ajap1,0.432469142155052
Zfp462,0.431877870339698
Dgkz,0.431739876354157
Lmx1b,0.43089772430679
Vav3,0.430827970628694
Clvs1,0.429727320785298
Rora,0.428423659243328
Adamts6,0.42681241878195
Whrn,0.426724010176277
Nell2,0.425590145433318
Gm45645,0.425462238449435
Epha7,0.424589631227218
Gsdme,0.420868747145686
Lhfp,0.418406073696767
A330008L17Rik,0.418255338499334
Pitpnc1,0.41807847567516
Spag5,0.417932894699906
Cacna1a,0.417755766463089
Ppp2r2b,0.412658291762374
Atxn1,0.411384705016708
Phldb2,0.410502557875677
7420701I03Rik,0.410212326781494
Ctnna1,0.407433829767376
Pappa,0.405410812221888
Pbdc1,0.404533788764119
Itpr1,0.402443838494127
Slc10a4,0.401200228795855
Cacna1d,0.398271904929835
Cdk14,0.397225121859296
C230014O12Rik,0.39705841276437
Mad1l1,0.396287611650704
Stk39,0.396281008220983
Gm20319,0.394686916219313
Arap2,0.393302232858346
Wipf3,0.393008917578353
Chrna4,0.391680359268327
Aff3,0.391514221975125
Nectin3,0.391148633503203
Mctp1,0.391110742904487
Specc1,0.391098451260207
Ica1,0.390262182817354
Mpp6,0.389227415593299
Btbd11,0.388013646995781
Adcy1,0.385397298437256
