"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Response To Muscle Stretch (GO:0035994)","3/14",4.24153224447596e-05,0.019817687149645,0,0,55.9203373945642,563.006006243408,"RYR2;CDH2;SLC8A1","GO_Biological_Process_2023","red"
"Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)","5/83",6.02361311539362e-05,0.019817687149645,0,0,13.3751686909582,129.969700140671,"RYR2;GRIN2A;HTR2A;SLC8A1;CACNA1H","GO_Biological_Process_2023","red"
"Regulation Of Cell Migration (GO:0030334)","9/434",0.00032684852521022,0.0419618352448155,0,0,4.53199741435036,36.3738734267889,"SEMA5A;SEMA5B;CEMIP;TMEFF2;NAV3;NTRK3;NTF3;TWIST2;SULF1","GO_Biological_Process_2023","red"
"Cellular Response To Caffeine (GO:0071313)","2/6",0.000366432168048497,0.0419618352448155,0,0,101.510204081633,803.117990717184,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Response To Caffeine (GO:0031000)","2/6",0.000366432168048497,0.0419618352448155,0,0,101.510204081633,803.117990717184,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Positive Regulation Of Cell Migration (GO:0030335)","7/272",0.000434464924952784,0.0419618352448155,0,0,5.57699330493001,43.1737099909038,"SEMA5A;SEMA5B;CEMIP;NTRK3;NTF3;TWIST2;DOCK1","GO_Biological_Process_2023","red"
"Phagocytosis, Engulfment (GO:0006911)","3/30",0.00044640250260442,0.0419618352448155,0,0,22.7640320733104,175.608334527758,"XKR4;DOCK1;GULP1","GO_Biological_Process_2023","red"
"Positive Regulation Of Cell Motility (GO:2000147)","6/221",0.000854873957676149,0.0520936921953037,0,0,5.84413656605641,41.2862330687478,"SEMA5A;SEMA5B;CEMIP;NTRK3;NTF3;TWIST2","GO_Biological_Process_2023","red"
"Calcium Ion Transport Into Cytosol (GO:0060402)","2/9",0.000870867194754317,0.0520936921953037,0,0,57.997084548105,408.648679561366,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Regulation Of Sequestering Of Calcium Ion (GO:0051282)","2/9",0.000870867194754317,0.0520936921953037,0,0,57.997084548105,408.648679561366,"DIAPH1;RYR2","GO_Biological_Process_2023","red"
"Cellular Response To Purine-Containing Compound (GO:0071415)","2/9",0.000870867194754317,0.0520936921953037,0,0,57.997084548105,408.648679561366,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Cell Junction Assembly (GO:0034329)","4/95",0.00132224387153876,0.0650204798317252,0,0,9.07005494505495,60.1201797011037,"CDH2;DSCAM;TLN2;CDH7","GO_Biological_Process_2023","red"
"Neural Crest Cell Development (GO:0014032)","3/44",0.00138425852269568,0.0650204798317252,0,0,14.9803872265527,98.6097568216037,"SEMA5A;SEMA5B;CDH2","GO_Biological_Process_2023","red"
"Positive Regulation Of Chemotaxis (GO:0050921)","3/44",0.00138425852269568,0.0650204798317252,0,0,14.9803872265527,98.6097568216037,"SEMA5A;DSCAM;NTRK3","GO_Biological_Process_2023","red"
"Nervous System Development (GO:0007399)","8/433",0.00148338910138816,0.0650204798317252,0,0,3.9846547314578,25.9537532337566,"SEMA5A;CHST8;CDH2;DSCAM;NAV3;NTF3;CRIM1;LSAMP","GO_Biological_Process_2023","red"
"Calcium Ion Import (GO:0070509)","2/12",0.00158104510229119,0.0650204798317252,0,0,40.5918367346939,261.803918893847,"CACNA1H;SLC8A1","GO_Biological_Process_2023","red"
"Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201)","2/13",0.00186242805035638,0.0680820920630275,0,0,36.899814471243,231.947593213754,"SULF1;HS6ST2","GO_Biological_Process_2023","red"
"Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000479)","2/13",0.00186242805035638,0.0680820920630275,0,0,36.899814471243,231.947593213754,"PRKAR2B;PKIA","GO_Biological_Process_2023","red"
"Axonogenesis (GO:0007409)","5/188",0.00254814400163575,0.0811747419398251,0,0,5.67069312625827,33.8675910752203,"SEMA5A;SEMA5B;DSCAM;UNC5C;CCK","GO_Biological_Process_2023","red"
"Positive Regulation Of Positive Chemotaxis (GO:0050927)","2/16",0.00283741499181759,0.0811747419398251,0,0,28.9883381924198,170.012598917729,"NTRK3;NTF3","GO_Biological_Process_2023","red"
"Protein O-linked Mannosylation (GO:0035269)","2/16",0.00283741499181759,0.0811747419398251,0,0,28.9883381924198,170.012598917729,"TMTC1;TMTC4","GO_Biological_Process_2023","red"
"Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064)","2/16",0.00283741499181759,0.0811747419398251,0,0,28.9883381924198,170.012598917729,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881)","2/16",0.00283741499181759,0.0811747419398251,0,0,28.9883381924198,170.012598917729,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)","2/17",0.00320528834894988,0.0836463845994995,0,0,27.0544217687075,155.372278725068,"PDCD4;PRKG1","GO_Biological_Process_2023","red"
"Cellular Response To Alkaloid (GO:0071312)","2/17",0.00320528834894988,0.0836463845994995,0,0,27.0544217687075,155.372278725068,"RYR2;SLC8A1","GO_Biological_Process_2023","red"
"Neuron Projection Guidance (GO:0097485)","4/124",0.00349019272351665,0.0836463845994995,0,0,6.86805555555556,38.8580732021198,"SEMA5A;SEMA5B;DSCAM;UNC5C","GO_Biological_Process_2023","red"
"Myoblast Fusion (GO:0007520)","2/18",0.00359423711737408,0.0836463845994995,0,0,25.3622448979592,142.749455625051,"DOCK1;CACNA1H","GO_Biological_Process_2023","red"
"Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)","2/19",0.00400404563880334,0.0836463845994995,0,0,23.8691476590636,131.768436654952,"FSTL5;SULF1","GO_Biological_Process_2023","red"
"Positive Regulation Of Mitochondrial Fission (GO:0090141)","2/19",0.00400404563880334,0.0836463845994995,0,0,23.8691476590636,131.768436654952,"DDHD1;MCU","GO_Biological_Process_2023","red"
"Positive Regulation Of Axon Extension (GO:0045773)","2/19",0.00400404563880334,0.0836463845994995,0,0,23.8691476590636,131.768436654952,"SEMA5A;DSCAM","GO_Biological_Process_2023","red"
"Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843)","2/19",0.00400404563880334,0.0836463845994995,0,0,23.8691476590636,131.768436654952,"SEMA5A;SEMA5B","GO_Biological_Process_2023","red"
"Synapse Organization (GO:0050808)","4/131",0.00424502160436393,0.0836463845994995,0,0,6.48720472440945,35.4331665017492,"UNC13C;CDH2;DSCAM;ELFN1","GO_Biological_Process_2023","red"
