"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.124968156135317,9.79135083400586,0.86912005707691,6488.7558870196,6501.92976776457,7001.15250636341
2,0.143670962661707,-5.42768460883884,0.977943732184022,3338.43040440298,3325.28946598195,4044.18320654544
3,0.585887900832265,-8.21799552386832,0.901806497311839,1738.86286900347,1708.82111718414,2462.40972663483
4,0.836818172130758,-7.58047600943021,0.945606546876162,917.060458836813,884.822454993399,1561.87111752626
5,0.924633997498274,-6.50835902166328,0.975253170702997,490.015295194818,463.508645681315,1027.71630276046
6,0.954201281800942,-5.45958320328747,0.986693556578753,265.54645771701,244.586276406261,699.272415424778
7,0.963273484981831,-4.66898218776538,0.989816735362196,146.145264616926,130.114621349927,490.576946003168
8,0.966907570198425,-4.07897009781579,0.992666164568416,81.8229000783726,69.6786844451744,353.869103840898
9,0.963971091069475,-3.62802388143674,0.992334019128461,46.6936641287281,37.5756863050066,261.737995492934
10,0.960528884850955,-3.26449023768674,0.993492585420954,27.217993345318,20.4286178108449,197.985986694974
12,0.944793182200386,-2.74506386264108,0.985463549545888,9.93987969772368,6.14837503687238,119.994704638175
14,0.930432518919136,-2.38482798550473,0.985025119046589,4.04221795158575,1.8989643497722,77.4211214676193
16,0.924625398706788,-2.11238010041864,0.992248021083483,1.84081929644703,0.600202435038468,52.4474675820626
18,0.913810599919642,-1.92576195325319,0.980896886827012,0.933338037578468,0.194530534905534,36.9151696237327
20,0.913346631912854,-1.78485658355491,0.981352047199255,0.519308842809929,0.0647534506322558,26.7862697608392
22,0.925173448736307,-1.66182546274413,0.983736547095379,0.311603884019011,0.0219769243486825,19.9217584222613
24,0.939253744423416,-1.56544252297497,0.992211928782724,0.198449955413486,0.0075866846750694,15.1203345130165
26,0.942753310083863,-1.4977484992864,0.984198139635688,0.132457015567308,0.00268089396565951,11.6728236279024
28,0.948761467002901,-1.43825441571034,0.976556617591541,0.0917880952771864,0.000971045129370296,9.19940279754933
30,0.953676602299438,-1.42212518531207,0.986147093088825,0.0655843183449804,0.000357460051608083,7.80301053225508
