"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","module"
0,-5.33954617439597,0.201,0.813,0,"greenyellow"
5.97188484443707e-289,-6.69816712442014,0.28,0.799,7.16626181332448e-288,"turquoise"
9.31656683005444e-273,4.70261310766351,0.705,0.172,1.11798801960653e-271,"tan"
2.81974847116752e-143,6.83324622955673,0.502,0.135,3.38369816540102e-142,"magenta"
3.74011427474869e-124,13.3393788560919,0.53,0.21,4.48813712969843e-123,"blue"
1.66036661011681e-119,5.40861216194975,0.551,0.27,1.99243993214018e-118,"pink"
8.65693128265077e-52,4.44741584499646,0.323,0.123,1.03883175391809e-50,"green"
3.34454117129627e-33,-0.898086991818425,0.53,0.761,4.01344940555552e-32,"purple"
2.85845341608349e-31,-1.36282421341514,0.416,0.609,3.43014409930019e-30,"black"
7.30616820791858e-26,12.7819290926046,0.209,0.447,8.7674018495023e-25,"yellow"
1.21103771852188e-18,0.281628543745483,0.454,0.691,1.45324526222626e-17,"red"
0.00569145024567849,-9.42542437192556,0.384,0.424,0.0682974029481419,"brown"
