gene_name,kME
Mcc,0.602161192356412
Tmem132d,0.583754191914349
9530026P05Rik,0.571547433459773
Slc1a2,0.55745326734832
Dpp6,0.546502986414455
Ext1,0.546304485578316
Plekhg1,0.545203243945463
Pde10a,0.527180151905036
Pde1c,0.524914482021549
Slit2,0.514229599809175
Zbtb20,0.509405819703914
Tacr3,0.498575024520903
Kcnb2,0.487880515141358
Sema5a,0.486819132853961
Ccser1,0.48646084098313
Bach2,0.483253299757255
Ebf1,0.472082360910156
Shisa9,0.467373976982095
Cdk14,0.461325219554235
Cadm1,0.4572266451002
Etl4,0.439499629438056
Neto2,0.432011773871613
St6galnac5,0.428849169469535
Csf2rb2,0.418838605944077
Rasal2,0.414116047318565
Adra1b,0.411625990358252
Slco2a1,0.39479665527923
Csf2rb,0.392629314371045
Fut8,0.3923179309936
Tcf12,0.377362096396868
Cbln4,0.375360517402701
Cacna1e,0.375313224972127
Plcxd3,0.374443077708022
Gsg1l,0.362092948601297
Slc24a2,0.356345321890767
Lpl,0.35352966836051
Tmem207,0.342102698124147
Gpr83,0.341965131649827
Xkr4,0.341210703107917
Tenm4,0.339586720045673
Kirrel3,0.339348785790403
Nkain3,0.330293402974556
Pitpnm3,0.330249230263302
Wscd1,0.330159114940052
Gm42208,0.321872524783281
Gm3173,0.318737828275159
Maml3,0.312723822731193
Gm10406,0.306405790591786
Pigk,0.30112280278309
Gab2,0.298555015650726
Rgs7,0.295316660848751
Zmiz1,0.286719459629346
4930467D21Rik,0.283908044191243
Rassf3,0.280573882865335
Ttc28,0.279022426816936
Chd7,0.278368821916451
Gm3002,0.273577305919602
Syt10,0.272867970225799
Cps1,0.272237704702574
Igf1r,0.270976307278495
Pcsk5,0.270906935763437
Mir670hg,0.269016958201154
Stac,0.266834239541907
Rere,0.265899865071526
Smoc1,0.262707353044779
Dpf3,0.258270689265263
Plpp3,0.257110187041074
Whrn,0.25680237328612
Adamts9,0.254111586475939
B3gat2,0.251123061998788
Gabrg2,0.24665818455238
Gm3739,0.246033382868357
2610027F03Rik,0.242076899307743
Ajap1,0.241621760107919
Plppr5,0.23909119990222
Sfmbt2,0.237465382466819
Mllt3,0.234440819550914
Usp12,0.231299047485053
Cacna1d,0.230135414808189
Zdhhc14,0.229652762879032
St7,0.228659522069883
Sik3,0.223687191395203
Trhde,0.221274086872231
Gm17171,0.219318633029052
Rev3l,0.218611499919644
Slc4a7,0.215962139392223
Rab27a,0.21523719463814
Frem2,0.213752937763337
Gabra1,0.208108074395283
Me3,0.207122059097074
Ntrk2,0.20370189539151
Rin2,0.199151094196491
Tns3,0.194027754047243
9530036O11Rik,0.191605721965594
Nampt,0.190870731103671
Entpd6,0.190408335030692
Ptpn5,0.189786711234788
Fmn2,0.187302744433096
Tmcc1,0.182745677954709
Sh3bp4,0.18033675744643
Pkig,0.178793123583652
Gm3696,0.178078160139453
Gm3294,0.177808359599932
Igdcc3,0.175817903007492
Abcg2,0.174731510468732
Lrrc1,0.174696903315025
2610042L04Rik,0.173395857412683
Nxph3,0.171460372009276
Pgbd5,0.170269177491657
1810041L15Rik,0.170012726712604
Ntn4,0.167603826695927
Comt,0.167441477984231
Gm8237,0.165580560662537
Paqr8,0.162477795334274
Mgat4a,0.15971188750934
Syt2,0.156912944885093
Tmem131,0.153192864507569
Nup210,0.152638172605603
Psg16,0.152494038476989
Sh3d19,0.150514543551391
Rnpc3,0.146596494616256
Prkag2,0.144436374430114
Ccnd3,0.144251570506513
BC005561,0.143752575504473
Tmem65,0.143475771879797
Rapgef4,0.137989745085998
Pwwp2a,0.134077502743264
Kdm4c,0.128623536275825
Terf1,0.125344123543044
Rasgrp1,0.111972677434265
Slc7a5,0.0946850113747459
Sox4,0.093079570129238
