"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Carbohydrate Biosynthetic Process (GO:0016051)","3/25",0.000257514521493891,0.120023183021126,0,0,27.9447047797563,230.947180745545,"EXT1;FUT8;ST6GALNAC5","GO_Biological_Process_2023","pink"
"Synapse Assembly (GO:0007416)","4/71",0.00044219543361385,0.120023183021126,0,0,12.3339552238806,95.2644929311874,"KIRREL3;GABRA1;CBLN4;GABRG2","GO_Biological_Process_2023","pink"
"Negative Regulation Of Epithelial Cell Migration (GO:0010633)","3/33",0.000593409864284098,0.120023183021126,0,0,20.4845360824742,152.192426040013,"SLIT2;MCC;ADAMTS9","GO_Biological_Process_2023","pink"
"Inner Ear Receptor Cell Development (GO:0060119)","2/8",0.000679555166686154,0.120023183021126,0,0,67.6666666666667,493.565548173325,"SLC4A7;WHRN","GO_Biological_Process_2023","pink"
"Calcium Ion Import Across Plasma Membrane (GO:0098703)","3/37",0.000832937363224714,0.120023183021126,0,0,18.0709520921771,128.133027538084,"SLC24A2;CACNA1D;CACNA1E","GO_Biological_Process_2023","pink"
"Regulation Of Endothelial Cell Migration (GO:0010594)","4/88",0.00099466726260602,0.120023183021126,0,0,9.82936507936508,67.9514062017993,"SLIT2;PLPP3;ADAMTS9;RIN2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Regulated Secretory Pathway (GO:1903307)","2/12",0.00158104510229119,0.143084581757353,0,0,40.5918367346939,261.803918893847,"SYT10;RAB27A","GO_Biological_Process_2023","pink"
"Calcium Ion Import (GO:0070509)","2/12",0.00158104510229119,0.143084581757353,0,0,40.5918367346939,261.803918893847,"SLC24A2;CACNA1D","GO_Biological_Process_2023","pink"
"Inhibitory Synapse Assembly (GO:1904862)","2/13",0.00186242805035638,0.149821989828668,0,0,36.899814471243,231.947593213754,"GABRA1;GABRG2","GO_Biological_Process_2023","pink"
"Synaptic Transmission, GABAergic (GO:0051932)","2/14",0.00216576516004231,0.156801397587064,0,0,33.8231292517007,207.504274169846,"GABRA1;GABRG2","GO_Biological_Process_2023","pink"
"Chordate Embryonic Development (GO:0043009)","3/59",0.00321884192423753,0.211858323013452,0,0,10.959499263623,62.8936470466217,"FUT8;CHD7;PCSK5","GO_Biological_Process_2023","pink"
"Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)","2/20",0.00443449984753605,0.235503320306473,0,0,22.5419501133787,122.139959975335,"GABRA1;GABRG2","GO_Biological_Process_2023","pink"
"Purine Nucleotide Biosynthetic Process (GO:0006164)","2/21",0.00488538725831669,0.235503320306473,0,0,21.3544575725027,113.63788950908,"SLC4A7;NAMPT","GO_Biological_Process_2023","pink"
"Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)","3/69",0.00500440096029744,0.235503320306473,0,0,9.29428303655108,49.2358840662501,"GSG1L;CACNA1D;SHISA9","GO_Biological_Process_2023","pink"
"Sensory Organ Development (GO:0007423)","3/70",0.00520972357949959,0.235503320306473,0,0,9.15510078473611,48.1304565862878,"SMOC1;CHD7;FREM2","GO_Biological_Process_2023","pink"
"Oligosaccharide Biosynthetic Process (GO:0009312)","2/22",0.00535649695773258,0.235503320306473,0,0,20.2857142857143,106.083028567318,"FUT8;ST6GALNAC5","GO_Biological_Process_2023","pink"
"Axon Extension (GO:0048675)","2/23",0.00584761959206228,0.235503320306473,0,0,19.3187560738581,99.3316462237063,"SEMA5A;SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of AMPA Receptor Activity (GO:2000311)","2/24",0.00635854736076345,0.235503320306473,0,0,18.4397031539889,93.2671948534304,"GSG1L;SHISA9","GO_Biological_Process_2023","pink"
"Cellular Response To Hexose Stimulus (GO:0071331)","2/25",0.00688907400282997,0.235503320306473,0,0,17.6370896184561,87.7942327571282,"ZBTB20;IGF1R","GO_Biological_Process_2023","pink"
"In Utero Embryonic Development (GO:0001701)","2/27",0.00800810651058956,0.235503320306473,0,0,16.2244897959184,78.3204947866311,"FUT8;CHD7","GO_Biological_Process_2023","pink"
"Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)","3/83",0.00834600734283341,0.235503320306473,0,0,7.66237113402062,36.6718938313713,"SLC24A2;CACNA1D;CACNA1E","GO_Biological_Process_2023","pink"
"Limb Development (GO:0060173)","2/28",0.00859620747114401,0.235503320306473,0,0,15.5996860282575,74.1988795836398,"SMOC1;PCSK5","GO_Biological_Process_2023","pink"
"Positive Regulation Of Endothelial Cell Migration (GO:0010595)","3/85",0.00890772751370806,0.235503320306473,0,0,7.47472969575057,35.2869739274349,"SEMA5A;PLPP3;RIN2","GO_Biological_Process_2023","pink"
"Regulation Of Potassium Ion Transport (GO:0043266)","2/30",0.00982857782071015,0.235503320306473,0,0,14.4839650145773,66.9515638793864,"DPP6;CACNA1D","GO_Biological_Process_2023","pink"
"Phospholipid Dephosphorylation (GO:0046839)","2/30",0.00982857782071015,0.235503320306473,0,0,14.4839650145773,66.9515638793864,"PLPPR5;PLPP3","GO_Biological_Process_2023","pink"
"Negative Regulation Of Chemotaxis (GO:0050922)","2/31",0.0104724512850622,0.235503320306473,0,0,13.9838142153413,63.7523090878691,"SEMA5A;SLIT2","GO_Biological_Process_2023","pink"
"Proteoglycan Biosynthetic Process (GO:0030166)","2/32",0.0111345221222249,0.235503320306473,0,0,13.5170068027211,60.795507674817,"EXT1;B3GAT2","GO_Biological_Process_2023","pink"
"Inositol Lipid-Mediated Signaling (GO:0048017)","2/33",0.0118145960439168,0.235503320306473,0,0,13.0803159973667,58.0559303610333,"GAB2;IGF1R","GO_Biological_Process_2023","pink"
"Regulation Of Potassium Ion Transmembrane Transport (GO:1901379)","2/33",0.0118145960439168,0.235503320306473,0,0,13.0803159973667,58.0559303610333,"DPP6;CACNA1D","GO_Biological_Process_2023","pink"
"Chemical Synaptic Transmission (GO:0007268)","5/273",0.0120192476414636,0.235503320306473,0,0,3.85545954438335,17.045934873086,"GABRA1;SYT10;SLC1A2;CACNA1E;GABRG2","GO_Biological_Process_2023","pink"
"Cellular Response To Glucose Stimulus (GO:0071333)","2/34",0.0125124802245356,0.235503320306473,0,0,12.6709183673469,55.5116572102178,"ZBTB20;IGF1R","GO_Biological_Process_2023","pink"
"Regulation Of Postsynaptic Membrane Potential (GO:0060078)","2/35",0.0132279832722483,0.235503320306473,0,0,12.2863327149041,53.1435584472206,"GABRA1;GABRG2","GO_Biological_Process_2023","pink"
"Regulation Of Regulated Secretory Pathway (GO:1903305)","2/35",0.0132279832722483,0.235503320306473,0,0,12.2863327149041,53.1435584472206,"SYT10;RAB27A","GO_Biological_Process_2023","pink"
"Negative Regulation Of Endothelial Cell Migration (GO:0010596)","2/37",0.0147110875878219,0.235503320306473,0,0,11.5830903790087,48.8708399253876,"SLIT2;ADAMTS9","GO_Biological_Process_2023","pink"
"Inorganic Cation Import Across Plasma Membrane (GO:0098659)","3/103",0.0149559054974685,0.235503320306473,0,0,6.12371134020619,25.7358095887729,"SLC24A2;CACNA1D;CACNA1E","GO_Biological_Process_2023","pink"
"Positive Regulation Of Axonogenesis (GO:0050772)","2/38",0.0154783132235365,0.235503320306473,0,0,11.2607709750567,46.9384448645158,"NTRK2;SLIT2","GO_Biological_Process_2023","pink"
"Cellular Response To Organonitrogen Compound (GO:0071417)","3/105",0.0157404409875109,0.235503320306473,0,0,6.00303214069133,24.9217201151844,"SH3BP4;SLIT2;GABRG2","GO_Biological_Process_2023","pink"
"Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062)","2/39",0.0162624064321538,0.235503320306473,0,0,10.9558742415885,45.1261415257865,"DPP6;CACNA1D","GO_Biological_Process_2023","pink"
"Extracellular Structure Organization (GO:0043062)","3/109",0.0173780716412014,0.235503320306473,0,0,5.77533553783311,23.4048136142864,"SMOC1;ST7;ADAMTS9","GO_Biological_Process_2023","pink"
"External Encapsulating Structure Organization (GO:0045229)","3/110",0.0178018044903922,0.235503320306473,0,0,5.72107139416129,23.0470812431264,"SMOC1;ST7;ADAMTS9","GO_Biological_Process_2023","pink"
"Visual System Development (GO:0150063)","2/41",0.0178804597481127,0.235503320306473,0,0,10.3929879644165,41.8218699251635,"SMOC1;FREM2","GO_Biological_Process_2023","pink"
"Regulation Of Neurotransmitter Receptor Activity (GO:0099601)","2/42",0.0187140554000923,0.235503320306473,0,0,10.1326530612245,40.3125617234172,"GSG1L;SHISA9","GO_Biological_Process_2023","pink"
