"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.0623730832319097,10.471617381611,0.923697969832789,6263.82373653305,6268.12605858712,6686.15220484106
2,0.0805054756200292,-6.22488686383065,0.980573097452499,3201.49420421053,3192.35285986257,3745.20883057951
3,0.475109602435554,-11.0506213627996,0.913506164367477,1653.14344434638,1635.84205949636,2172.11288669738
4,0.807194836247387,-11.0465003514408,0.957938415092943,862.507725404946,844.311840568537,1297.63048907467
5,0.895564513111495,-8.72243793739734,0.974475889465856,454.857141053096,439.66670803718,796.728276664638
6,0.936689462627958,-7.26110067435406,0.986058101640109,242.615221889557,230.704056092772,501.966712768901
7,0.956726163465249,-5.98971063549162,0.991863993823379,130.999489748038,121.883769173859,324.103873826993
8,0.959309837065302,-5.20853527924466,0.992128449461504,71.6829436380973,64.7976678633815,218.938354354029
9,0.956476556418439,-4.64248501614051,0.9936943353754,39.8063808553463,34.6915066505323,153.005697478133
10,0.948565428262617,-4.17223894445742,0.991956470150361,22.4688791509538,18.689877139416,109.590854460267
12,0.923126787173775,-3.54054939515908,0.990545325856565,7.57421518854165,5.52104470210971,59.9557474805645
14,0.902695182518407,-3.03318232689488,0.98338194149677,2.78869998052526,1.67847799259594,35.2223575564224
16,0.878744955591994,-2.64361629010997,0.971141626418727,1.1362136068234,0.520661230906001,21.8936824622427
18,0.442601498705681,-3.12279858002663,0.465584102722953,0.515098669039534,0.165617860065296,14.2326009349648
20,0.431159490488281,-2.78911166245258,0.456773936649635,0.258582579111452,0.0539214239233345,9.59087729307824
22,0.894743318300423,-1.88727191612229,0.994233866911028,0.141894245096135,0.0179523407939284,6.65449451180851
24,0.897718793447246,-1.77100059862408,0.987544878179996,0.0837575742169299,0.00609599123661941,4.72956492795939
26,0.885645878379416,-1.67069033947828,0.943613085977669,0.0523972863149812,0.00211819940282654,3.42965663732365
28,0.899981472292229,-1.59050314230292,0.950853715085411,0.0343281694634989,0.000747709377258099,2.5594204015028
30,0.905289085830134,-1.55624549121742,0.950963709879757,0.0233463098729038,0.000269808709160158,2.01419871849389
