gene_name,kME
Hs6st3,0.706024575518976
Sorcs1,0.640050805962986
Negr1,0.57922891821838
Tshz2,0.574437980134106
Zfp804a,0.5641159317452
Tnr,0.56181554263563
Vip,0.54820010982421
Frmd5,0.534169462087644
Phactr1,0.527711249438089
Kcnh7,0.524660946781651
Pak7,0.521335704737542
Rit2,0.511510024910701
Usp29,0.507110155138567
Gm26883,0.502141450006281
Ptprg,0.500593981706924
Ephb1,0.497137454827342
Kcnh5,0.487573259021583
Lrp1b,0.485241807824833
Alcam,0.478626365489384
Unc5d,0.471119488563846
Grm8,0.470476724509592
Chsy3,0.461120450528575
Kctd8,0.455017480636805
Pou2f2,0.454072341880317
Gucy1a2,0.452062848885353
Zfhx3,0.449310784830199
Pik3r1,0.449025098145887
Baiap3,0.449005775200624
Cacna2d1,0.448440038404019
Ptprd,0.444249909559072
Arhgap26,0.443525283400747
Tcf4,0.443119754160434
Cpne8,0.436984701800049
Pde1a,0.431220706491661
Thsd7a,0.430998893028339
Pde10a,0.430858418435
Cck,0.430291914343832
Cadm1,0.426767069338367
Atp8a1,0.425915320602438
Arhgap6,0.42447492134073
Klf12,0.424369860523752
Kcnb2,0.419753007055389
Ebf1,0.419711720039325
Gzmk,0.419285146668835
Prkar2b,0.416373745706762
Mgat5,0.414187127601478
Cdh2,0.411553239030698
Kcnk9,0.402454906240332
Gm15261,0.401767213597342
Lepr,0.400653771459076
Kcnd2,0.398472204761254
Asic2,0.397532536419527
Gm12239,0.395831211862454
Gipr,0.392191391570806
Rorb,0.390625386216057
Plxna4,0.390568603630641
Nbea,0.389655422538431
Dscam,0.383901765290043
Ptprn2,0.380970641605743
Tead1,0.380483475783327
Hs3st4,0.378615704579556
Rasgef1b,0.371201622107957
Ppfibp2,0.369890660038895
Dock4,0.369204098578973
Sulf2,0.366560354978551
Ptpru,0.363457722758342
Maml3,0.355765878518512
Gnas,0.35464249123604
Crim1,0.348649760811853
Zim1,0.347689667310944
Kcnh1,0.347032680769967
Vav2,0.3469323353864
Glra1,0.344886929688218
Ahi1,0.343996205832581
Sorcs2,0.342470347208999
Exoc4,0.341837048714553
Gm42303,0.339415849462897
Pde4b,0.338197210955739
Ppp3ca,0.333435646732088
Hunk,0.332814269979436
Prlr,0.332052560873341
Tanc2,0.328334376563448
Syn2,0.326220176706588
Kcnh8,0.324114380912847
Stk32b,0.322943527886769
Cdh23,0.322883253145802
Plcxd3,0.321440659132679
Tmtc1,0.320188638632557
Tnik,0.319600751091962
Dpf3,0.316219005302479
Setd5,0.315425874076649
Khdrbs3,0.315197295725405
Rab27b,0.314416061688945
Plxnc1,0.31239112179478
Galnt17,0.309322630178412
Oxr1,0.307436522357107
Bach2,0.305667906364707
Wnt4,0.305322807158682
Mbnl3,0.30511663901381
Zcchc11,0.305067432310121
Rfx3,0.304816032556342
Scmh1,0.303625240456803
Pde1c,0.30302581547491
Slc7a14,0.301994281927289
Smyd3,0.300565195692426
Fgf1,0.300474398340277
Resp18,0.300431892843307
Efhb,0.300038767514918
Sobp,0.299365251583366
Hmgcll1,0.297489316353628
Rgs9,0.294302279230108
Gabrb3,0.294159681616108
