"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Calcium Ion Import Across Plasma Membrane (GO:0098703)","4/37",3.42307648755364e-05,0.0207780742794506,0,0,25.084595959596,257.929492302622,"SLC24A2;CACNA1I;SCN5A;CACNA1E","GO_Biological_Process_2023","brown"
"Phospholipase C-activating Dopamine Receptor Signaling Pathway (GO:0060158)","2/6",0.000366432168048497,0.111212163002719,0,0,101.510204081633,803.117990717184,"GNA14;GNAQ","GO_Biological_Process_2023","brown"
"Action Potential (GO:0001508)","3/35",0.000706715904482267,0.121234019325392,0,0,19.2023195876289,139.310558994682,"GNA14;GNAQ;SCN5A","GO_Biological_Process_2023","brown"
"Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)","4/83",0.000798906222902088,0.121234019325392,0,0,10.4541139240506,74.5615316206066,"SLC24A2;CACNA1I;SCN5A;CACNA1E","GO_Biological_Process_2023","brown"
"Negative Regulation Of Hydrolase Activity (GO:0051346)","3/47",0.00167651923807447,0.161499118080903,0,0,13.9568884723524,89.1989699333675,"LRCH1;SH3BP4;PITX3","GO_Biological_Process_2023","brown"
"Inorganic Cation Import Across Plasma Membrane (GO:0098659)","4/103",0.00178131014156496,0.161499118080903,0,0,8.33375420875421,52.7560489026172,"SLC24A2;CACNA1I;SCN5A;CACNA1E","GO_Biological_Process_2023","brown"
"Signal Peptide Processing (GO:0006465)","2/13",0.00186242805035638,0.161499118080903,0,0,36.899814471243,231.947593213754,"IMMP1L;PCSK5","GO_Biological_Process_2023","brown"
"Negative Regulation Of GTPase Activity (GO:0034260)","2/21",0.00488538725831669,0.308211157027026,0,0,21.3544575725027,113.63788950908,"LRCH1;SH3BP4","GO_Biological_Process_2023","brown"
"Microtubule Nucleation (GO:0007020)","2/23",0.00584761959206228,0.308211157027026,0,0,19.3187560738581,99.3316462237063,"RANBP9;SLAIN1","GO_Biological_Process_2023","brown"
"Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)","3/83",0.00834600734283341,0.308211157027026,0,0,7.66237113402062,36.6718938313713,"GNA14;GNAQ;GPR83","GO_Biological_Process_2023","brown"
"Positive Regulation Of Microtubule Polymerization (GO:0031116)","2/29",0.00920309747511436,0.308211157027026,0,0,15.021164021164,70.4224490277819,"PDE4DIP;SLAIN1","GO_Biological_Process_2023","brown"
"Negative Regulation Of Epithelial Cell Migration (GO:0010633)","2/33",0.0118145960439168,0.308211157027026,0,0,13.0803159973667,58.0559303610333,"MCC;ADAMTS9","GO_Biological_Process_2023","brown"
"Microtubule Polymerization (GO:0046785)","2/34",0.0125124802245356,0.308211157027026,0,0,12.6709183673469,55.5116572102178,"RANBP9;SLAIN1","GO_Biological_Process_2023","brown"
"Regulation Of Wnt Signaling Pathway (GO:0030111)","3/109",0.0173780716412014,0.308211157027026,0,0,5.77533553783311,23.4048136142864,"GNAQ;CDK14;VGLL4","GO_Biological_Process_2023","brown"
"Lipid Modification (GO:0030258)","2/42",0.0187140554000923,0.308211157027026,0,0,10.1326530612245,40.3125617234172,"PLPP3;DGKI","GO_Biological_Process_2023","brown"
"Insulin Receptor Signaling Pathway (GO:0008286)","2/47",0.0231205576171507,0.308211157027026,0,0,9.00453514739229,33.920382104137,"NAMPT;IGF1R","GO_Biological_Process_2023","brown"
"Negative Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000323)","1/5",0.0247535287182936,0.308211157027026,0,0,50.2424242424242,185.836036973753,"CRY1","GO_Biological_Process_2023","brown"
"ISG15-protein Conjugation (GO:0032020)","1/5",0.0247535287182936,0.308211157027026,0,0,50.2424242424242,185.836036973753,"UBE2E2","GO_Biological_Process_2023","brown"
"Regulation Of Fat Cell Proliferation (GO:0070344)","1/5",0.0247535287182936,0.308211157027026,0,0,50.2424242424242,185.836036973753,"PID1","GO_Biological_Process_2023","brown"
"Xenobiotic Transport Across Blood-Brain Barrier (GO:1990962)","1/5",0.0247535287182936,0.308211157027026,0,0,50.2424242424242,185.836036973753,"ABCG2","GO_Biological_Process_2023","brown"
