"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.120802921382641,15.4892140091302,0.929530819117897,6164.55359469034,6168.9897088745,6526.792295425
2,1.53973098645339e-05,0.0900756926291211,0.993537653327289,3172.65423200343,3166.299498286,3622.73327582977
3,0.13161294517262,-5.44044104780501,0.927992044318402,1659.39208656258,1647.50500396049,2110.45130744309
4,0.465777759185638,-7.56692671045811,0.902763360321218,881.656127128665,868.899741457947,1291.54271755394
5,0.688220071939443,-7.31580663191785,0.929929219288846,475.777838526675,463.62737129015,819.772169849387
6,0.828710246846609,-6.66400031534182,0.963581590681219,260.786419684527,250.251164247452,537.504505754478
7,0.900708218757743,-5.94134084126379,0.981614960772192,145.224381854859,136.424780719263,362.825365259042
8,0.923507548622192,-5.31942771466613,0.980680638004379,82.1927463836748,75.2611180222579,251.391514901335
9,0.933744003537881,-4.70463689335998,0.980872800069286,47.3032865764842,41.9062911859821,178.319973061821
10,0.938976936027642,-4.25340373253023,0.985640889389349,27.7004120436103,23.5669725629859,129.190598612246
12,0.924141427074145,-3.56315828887147,0.967720883981633,10.035522070219,7.6680129479112,71.7678622537465
14,0.933419863640816,-3.02519067687806,0.982636488056027,3.93135613200812,2.58510892798936,42.7528960428062
16,0.913842209566445,-2.68825600038078,0.971088916048144,1.67318069786337,0.902064033830047,26.8433985433944
18,0.85634720345591,-2.47686618254308,0.911209828994958,0.774947323817589,0.323815563058404,17.593015568002
20,0.847328987143308,-2.22317774582136,0.895117984216504,0.389609926001599,0.119657383880868,11.9433330126408
22,0.891343405698323,-2.02624567853572,0.959439535177067,0.211241448727709,0.0451379466995059,8.59360101110968
24,0.877732444374758,-1.92589110411499,0.937857397047768,0.122398935594895,0.0174342573685724,6.45137695232593
26,0.899062426886677,-1.82955167759677,0.967625500606,0.0750540523440493,0.00687448897956289,4.91403804564001
28,0.905434385624137,-1.74781634039533,0.969634169088826,0.0482632978496832,0.0027508055711325,3.78743184338452
30,0.920708808175334,-1.67189751183767,0.985258032842973,0.0322966290496188,0.00112432115762084,2.9479144214523
