"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.406813272953842,8.49534809086241,0.881875980402202,6501.98299614095,6554.63005295439,7309.32809640562
2,0.000393768668058249,-0.126422736742904,0.945324419590593,3498.24149878437,3513.5859929227,4576.39320910259
3,0.35006877791839,-3.05419321537689,0.977336774767371,1934.31441301459,1918.58369562435,2995.94898687243
4,0.538850559496873,-3.19520941128074,0.982883760887063,1097.13553062301,1065.13448927367,2029.08976966032
5,0.680064634357078,-3.23025299284275,0.985693389214399,637.605859758262,601.299573467994,1412.75880119729
6,0.766422605397435,-3.05362181049574,0.992686894574608,379.400163782688,345.925646229344,1006.90351131439
7,0.819631916319267,-2.91020284909199,0.995209271992652,231.047719070226,202.733780531302,732.345817189549
8,0.850398365116916,-2.7410321298,0.99622912611002,143.955175513327,121.002357554272,542.26992076108
9,0.866694236042864,-2.63142036144538,0.994919710434839,91.7389397139485,73.1115092747292,411.990837883015
10,0.880019125763342,-2.52347498609569,0.995562942965462,59.7788725857342,44.7632253337367,318.445746523109
12,0.887506950436795,-2.34809983838649,0.994156616302967,27.0907467673007,17.1784078094685,198.733087402099
14,0.885932242903497,-2.20022480798931,0.989288744194705,13.3381856857021,6.92388302367307,131.153405641867
16,0.883597439831043,-2.057165463993,0.986837273004351,7.08895326403768,2.85412679325402,90.3269626810732
18,0.890471515911671,-1.91848685095934,0.983737241914735,4.03500721488239,1.20987872348343,64.4118762291031
20,0.87533470820194,-1.88215356713067,0.975356230734383,2.43878295929095,0.531372696174635,50.0538968181709
22,0.843000738590943,-1.86730047331801,0.969232196211297,1.55214159060998,0.23710340651381,39.7546074754439
24,0.854812862752175,-1.7939019897293,0.973777759559117,1.03227453292554,0.107494363175189,32.0017796451278
26,0.860068742850501,-1.73714380783497,0.973893603124768,0.712639460648917,0.0503015162848839,26.0439759695143
28,0.863428854500484,-1.68342215029269,0.971865861077397,0.507819503811853,0.023787893326877,21.3886495118784
30,0.904548423199386,-1.58420753148922,0.985920434139025,0.371777232423125,0.0114140344035378,17.7008887755956
