"module","moduleSize.Z","Zsummary.qual","Z.propVarExplained.qual","Z.meanSignAwareKME.qual","Z.meanSignAwareCorDat.qual","Z.meanAdj.qual","Z.meanMAR.qual","moduleSize.Z","Zsummary.pres","Zdensity.pres","Zconnectivity.pres","Z.propVarExplained.pres","Z.meanSignAwareKME.pres","Z.meanSignAwareCorDat.pres","Z.meanAdj.pres","Z.meanMAR.pres","Z.cor.kIM","Z.cor.kME","Z.cor.kMEall","Z.cor.cor","Z.cor.MAR","moduleSize.obs","medianRank.qual","propVarExplained.qual","meanSignAwareKME.qual","meanSignAwareCorDat.qual","meanAdj.qual","meanMAR.qual","moduleSize.obs","medianRank.pres","medianRankDensity.pres","medianRankConnectivity.pres","propVarExplained.pres","meanSignAwareKME.pres","meanSignAwareCorDat.pres","meanAdj.pres","meanMAR.pres","cor.kIM","cor.kME","cor.kMEall","cor.cor","cor.MAR"
"grey",1000,-23.5965514892889,-22.0747610866027,-25.8589959464043,-25.1183418919752,-10.0799172281131,-15.1161473551379,1000,4.44163210989346,-3.5040304020501,12.387294621837,-6.53372802633773,-0.47433277776246,34.3771839784898,-7.48257881838858,-7.5069686971412,12.387294621837,2.42013260585392,31.239751329987,51.0120544036268,8.2670664247545,1000,10,0.0667000342965676,0.208827731739635,0.0929396977819266,6.14691250446874e-05,0.00183256663539252,1000,10,10,10,0.0627904086969628,0.0114841011856907,0.0108988433647199,0.000139556570966991,0.00394198502786337,0.360057134513594,0.0693223487284549,0.265230373612435,0.0974329484904608,0.283538440995088
"gold",1000,2.21181602798579,2.0871415835348,1.73826074716125,2.33649047243678,2.66779368296465,2.35914700853515,1000,7.03254208425561,3.55723255248621,10.507851616025,1.51085309241942,4.56474046993476,75.9497661147021,2.54972463503766,1.75346465484932,10.507851616025,8.61973191542419,26.1478367459051,108.351887709426,12.7892327890223,1000,9,0.144570255559995,0.302995863552431,0.138315025513739,0.00170384493470257,0.0234159300697799,1000,8,9,7,0.088726529765146,0.0530586325368611,0.0247031756095354,0.000377308617670659,0.0102613181070944,0.33477594412888,0.18363554402365,0.225536240116333,0.223975611337153,0.447303039188049
"pink",73,8.88189401671459,8.40285087731811,9.36093715611107,11.4074803189956,5.26141263569677,1.64417991342922,73,7.58954315224558,13.2923953982108,1.88669090628041,6.64756294445086,7.20814497978031,19.3766458166412,21.4974319143262,10.1657617850501,1.88669090628041,0.955231032237504,10.1060014957315,12.7837875696847,3.27313286673199,73,4,0.408647675624428,0.628932367914553,0.388592868107449,0.0140070082323289,0.0509184514734716,73,5,4,8,0.169204077992349,0.259298574111928,0.0873822960833206,0.00321745238548346,0.0356566747358861,0.237653192777886,0.151629970197193,0.091950904200822,0.269974285157736,0.408889077076942
"black",98,11.4706148787754,11.1613819763101,11.7798477812407,16.3424410071819,9.8454218202711,3.08632462473501,98,7.88750883294172,10.520970793424,5.25404687245943,7.57876313590774,-0.825217159380104,13.4631784509403,32.7172085793633,12.1861815541553,5.25404687245943,0.332196913939317,2.80597062726712,19.2162679625939,5.26457395253559,98,3,0.445532289535472,0.658375110342363,0.427953097396444,0.0203571783036653,0.0632538435778756,98,6,6,5,0.161075426333875,0.0178845951216699,0.050263982255996,0.00348226491646099,0.0372188396279495,0.52880216730625,0.0957986262693043,0.0325126012297661,0.315133082730255,0.523570444326001
"red",107,9.01420590611101,8.20431763924787,9.82409417297414,11.7169195745911,6.19248326329923,2.98597155729772,107,10.8935647060578,16.2372053512236,5.54992406089186,13.9790394140895,3.97695789018002,18.4953712883578,71.9214699804186,20.6923837514411,4.38796033649138,5.54992406089186,28.0976647703641,30.7365083884371,6.66606941278701,107,5.5,0.374773793964475,0.598920098841495,0.357766282719651,0.0138325100445896,0.0605154285744529,107,4,4,4,0.216796064676428,0.138559651225564,0.0633556384691726,0.00682873343272545,0.0571471500361256,0.424982111834269,0.413330050998798,0.221258464505483,0.447514303186186,0.548862961315075
"blue",1000,51.704341135206,42.3566702855114,41.9239588857798,61.0520119849007,61.8101934099392,20.3650623722464,1000,14.6246509245029,15.0896267502777,14.1596750987281,3.78153794045951,18.2398453827588,49.6790851599263,11.9394081177966,8.8220164889652,9.77568290646916,14.1596750987281,48.619447410803,50.2447919720642,10.0950182981422,1000,2,0.494170385506895,0.691885514200321,0.47826334689411,0.0353719732184358,0.0913611458734509,1000,8,7.5,9,0.0953317441445662,0.186511122460228,0.0419591730578135,0.000646528030843916,0.0163217608804672,0.319005813229517,0.320341082960766,0.422765453693458,0.192056949306883,0.341619104149341
"yellow",260,4.85662607438652,4.13838704482285,7.64027142741832,5.5748651039502,-2.14172911909507,-3.77915942589784,260,14.8501000164502,16.3691614786965,13.3310385542038,13.1585319338135,17.2210860091033,67.1796105073935,15.5172369482898,5.06813982373897,11.4961651319138,13.3310385542038,93.5815395977494,46.71133637359,12.1307343529355,260,8,0.270740262984288,0.505839061313796,0.255559494971947,0.00240588231343219,0.0163837056718093,260,3,3.5,2,0.173027203563749,0.35766296681966,0.126586280471594,0.00118699577091892,0.0155114721044618,0.768082531053828,0.598009782493596,0.780545595799967,0.364367762045281,0.792331171785762
"turquoise",1000,15.816393335817,14.6005647754226,19.1248872944933,17.0322218962113,11.0480001627169,7.46058662958367,1000,20.3763690481032,21.1338482260985,19.6188898701079,6.57836768912297,11.4112026460758,35.6483951225009,30.8564938061212,15.7021196836684,19.6188898701079,8.98898912598802,46.9605090599089,62.5034197859595,21.0979014578104,1000,7,0.303820081539583,0.52060088140281,0.276545491764901,0.00980100232845158,0.0570970097233787,1000,7,7,6,0.104316473194908,0.140058544020812,0.0317495586221316,0.00112503330543026,0.0220157913406185,0.581741023665076,0.206468150730127,0.399719690454611,0.205570632691078,0.623147084542836
"green",177,30.4339670717432,24.4123282101738,21.3950518831068,36.4556059333126,45.7830408666663,8.06470865478212,177,47.1916382564838,80.0935616089671,14.2897149040005,35.0184434110166,24.6238380405519,125.168679806918,138.17271644694,13.7826047086193,9.06113865241912,14.2897149040005,75.4057288992403,48.3356120136934,10.2028482771329,177,1,0.581205170410938,0.759168864563513,0.574016954805169,0.0535943934262042,0.0863316127169174,177,1,1,1,0.363944612192352,0.573017096982354,0.325393139717317,0.011304065418868,0.0382636828826124,0.716826166289775,0.689280255285296,0.648603686545751,0.481565697678163,0.787303488188746
"brown",998,28.4836718370407,25.8314594259641,31.1358842481173,38.2062427332691,5.86706444153276,-6.02336582800149,998,53.0855607314929,75.9345145404795,30.2366069225064,53.630845878528,49.0123837101734,257.721825841709,98.2381832024309,10.5317089024229,22.4262690811938,30.2366069225064,91.5312729375458,109.601030334737,27.015803681858,998,5.5,0.372711713472086,0.599458198391646,0.358837211822014,0.00751624925490442,0.0237632336939257,998,2,2,3,0.244955986303234,0.449966207636567,0.202185079254636,0.00279570848018364,0.018026666741073,0.727912042469852,0.578519033702032,0.757399304492328,0.385465831317589,0.82203500385899
