"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.276580725166083,13.3540558050012,0.960943635465887,6292.31677041981,6295.0113438082,6838.61033559485
2,8.03561273968187e-05,-0.103899251186679,0.969683152121436,3268.12982801149,3248.76013500514,3958.88231257734
3,0.30284866984356,-4.42467337863826,0.876853841685319,1730.19864297642,1698.38618706902,2412.50053294281
4,0.684480432523788,-5.47690195413091,0.92871205797308,933.260663402139,900.404437985809,1538.56522804638
5,0.800901747076554,-5.00161256421319,0.950809822031625,512.837821582106,485.018341777782,1019.5504449203
6,0.870131198094966,-4.50479889274421,0.970617698502443,287.146408325291,264.934042071738,699.180002723932
7,0.903536899225373,-4.113594596351,0.979543454759911,163.884097061008,147.30349758327,494.379382329599
8,0.92150664815414,-3.75404182204011,0.983643300088379,95.3910252873228,82.6732743881395,359.212354213532
9,0.929782190796621,-3.45115288455849,0.985851672817686,56.6607135660949,46.9482970139201,267.367846856708
10,0.929164405011633,-3.21730286321763,0.984444671426045,34.3669083532236,26.9660794173188,203.284292632896
12,0.917850367866772,-2.86302304028515,0.982323133328012,13.4936246939697,9.15381527585304,124.024871902008
14,0.921459734006974,-2.54692591387731,0.988976088501113,5.79321056985526,3.21706523957377,80.2031811111919
16,0.901713363409454,-2.35769743421598,0.988165597750778,2.719755483115,1.171749832375,54.2678251463653
18,0.902869618831178,-2.15893846602004,0.989407779594577,1.39077775708891,0.43932354695633,38.0523110390949
20,0.900675461136877,-2.00527786452015,0.98469744146113,0.769106221599366,0.170176397626905,27.4542607766558
22,0.918572809167345,-1.83035395005597,0.98046886308418,0.45589657090326,0.0675829051889895,20.2731260624226
24,0.962622519017952,-1.66548690566802,0.985048899652721,0.287074651104923,0.0274396771941928,15.8854211009569
26,0.964364134485566,-1.64392431818169,0.981546303990014,0.190478871761547,0.0113647180084715,14.7646828765202
28,0.933253036279287,-1.63311270865698,0.931460247538452,0.132260728163901,0.00478137340217577,13.8372593044962
30,0.944732510036768,-1.57278628757414,0.937880197590026,0.095557300504748,0.00205737495487812,13.0358060433426
