"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"AL669831.5","blue","blue",0.281810740603263,-0.197460357679694,0.113787846803922,-0.0971721663830189,0.0681802502508009,-0.0222426657471401
"NOC2L","turquoise","turquoise",-0.117818475425903,0.197320606933072,0.0193545042959762,0.156122792782495,-0.0155598279825913,0.0206224193932344
"AGRN","grey","grey",0.0394660605625445,-0.00923553365588527,0.0092197545826304,-0.0122709566722331,0.0898737213268918,0.018872471148448
"C1orf159","blue","blue",0.205056741442476,-0.139814357396357,0.0765718214363736,-0.0434148551359875,0.0916435321450017,0.0225524923596483
"SDF4","yellow","yellow",-0.082117713944702,0.158705962920247,0.0121347594704232,0.164293034606511,-0.012125693152265,0.0142238779056819
"UBE2J2","grey","grey",0.0150158571719662,0.0602057475913558,0.0406490359722451,0.0693826501376713,0.0375066165776753,0.0376866208961579
"ACAP3","grey","grey",0.161166032550373,-0.0820789144489747,0.0573780366773856,0.00136570317902907,0.0682314141255392,0.0094880543693211
"INTS11","turquoise","turquoise",-0.00703287425095149,0.102875147613434,0.02823336791774,0.0805087540214443,0.0337910610686122,0.0327837941583956
"DVL1","grey","grey",-0.0148450049831669,0.0604031681531868,0.0116468720659722,0.0712983336037642,-0.00385910170547304,0.00784052936362676
"AURKAIP1","turquoise","turquoise",-0.164353444433211,0.282973391141417,0.0166840316178211,0.128565270394752,-0.0333295921909432,0.0794223631207731
"CCNL2","grey","grey",0.083467587786127,-0.0212934262586065,0.0673245156565482,-0.027173306656464,0.0751894829882122,0.0222636394600963
"MRPL20","turquoise","turquoise",-0.0931732520193389,0.145974202537085,0.00753845835008989,0.0658495115183493,0.0227404614591495,0.0312502451844151
"ANKRD65","brown","brown",-0.0105727090505692,0.00250788164396586,-0.0294392247447226,-0.00630250447980687,0.091150335593054,-0.000181054610917985
"VWA1","brown","brown",-0.0032144825195081,-0.0226153796527824,-0.0196664033402352,-0.0310715823040299,0.22561690845249,0.0264234382192506
"ATAD3B","grey","grey",0.227631479490547,-0.180033992542537,0.0783003647844043,-0.0621495137955598,0.0590760114279672,-0.00490753133926811
"ATAD3A","grey","grey",0.0480567304479372,0.0330006654023476,0.046131291288838,0.0510938670891834,0.0274807892374935,0.0116567518103919
