"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Actin Filament Organization (GO:0007015)","6/144",8.58029327018653e-05,0.0277674154010083,0,0,9.14061054579093,85.5877171939006,"MYO1D;MYO1E;DLG1;HIP1;ELMO1;SHROOM4","GO_Biological_Process_2023","turquoise"
"Supramolecular Fiber Organization (GO:0097435)","8/316",0.000187680895436919,0.0277674154010083,0,0,5.5313382269904,47.4631267475247,"MYO1D;MYO1E;DLG1;HIP1;ELMO1;SLAIN1;NCKAP5;SHROOM4","GO_Biological_Process_2023","turquoise"
"Galactolipid Biosynthetic Process (GO:0019375)","2/5",0.000245087170998512,0.0277674154010083,0,0,135.353741496599,1125.31701267514,"FA2H;UGT8","GO_Biological_Process_2023","turquoise"
"Galactosylceramide Biosynthetic Process (GO:0006682)","2/5",0.000245087170998512,0.0277674154010083,0,0,135.353741496599,1125.31701267514,"FA2H;UGT8","GO_Biological_Process_2023","turquoise"
"Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088)","3/26",0.000290049387363004,0.0277674154010083,0,0,26.7283729269386,217.714875120753,"DLG1;DLG2;ERBIN","GO_Biological_Process_2023","turquoise"
"Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)","3/26",0.000290049387363004,0.0277674154010083,0,0,26.7283729269386,217.714875120753,"DLG1;PDE4B;CTNNA3","GO_Biological_Process_2023","turquoise"
"Glomerular Epithelial Cell Development (GO:0072310)","2/6",0.000366432168048497,0.0277674154010083,0,0,101.510204081633,803.117990717184,"MYO1E;MAGI2","GO_Biological_Process_2023","turquoise"
"Glycosylceramide Biosynthetic Process (GO:0046476)","2/6",0.000366432168048497,0.0277674154010083,0,0,101.510204081633,803.117990717184,"FA2H;UGT8","GO_Biological_Process_2023","turquoise"
"Podocyte Development (GO:0072015)","2/6",0.000366432168048497,0.0277674154010083,0,0,101.510204081633,803.117990717184,"MYO1E;MAGI2","GO_Biological_Process_2023","turquoise"
"Positive Regulation Of Cell Migration (GO:0030335)","7/272",0.000434464924952784,0.0290607462865014,0,0,5.57699330493001,43.1737099909038,"TJP1;DOCK5;DAAM2;ENPP2;GAB1;DOCK1;MAP4K4","GO_Biological_Process_2023","turquoise"
"Negative Regulation Of Keratinocyte Proliferation (GO:0010839)","2/7",0.00051133277923463,0.0290607462865014,0,0,81.2040816326531,615.404316417306,"PTPRK;FGFR2","GO_Biological_Process_2023","turquoise"
"Galactosylceramide Metabolic Process (GO:0006681)","2/7",0.00051133277923463,0.0290607462865014,0,0,81.2040816326531,615.404316417306,"FA2H;UGT8","GO_Biological_Process_2023","turquoise"
"Presynaptic Membrane Organization (GO:0097090)","2/9",0.000870867194754317,0.0425565642038748,0,0,57.997084548105,408.648679561366,"PTPRD;IL1RAPL1","GO_Biological_Process_2023","turquoise"
"Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263)","4/85",0.000873595159610332,0.0425565642038748,0,0,10.1949588477366,71.8020093375497,"ZEB2;DAAM2;FGFR2;RNF220","GO_Biological_Process_2023","turquoise"
"Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197)","3/40",0.00104769503107265,0.0449280316567746,0,0,16.6032320980775,113.917477373754,"DLG1;DLG2;ERBIN","GO_Biological_Process_2023","turquoise"
"Sphingolipid Metabolic Process (GO:0006665)","4/94",0.00127139771341329,0.0449280316567746,0,0,9.1712962962963,61.1508875642086,"UGT8;FA2H;ENPP2;ST6GALNAC3","GO_Biological_Process_2023","turquoise"
"Skeletal System Morphogenesis (GO:0048705)","3/43",0.00129454713089392,0.0449280316567746,0,0,15.3556701030928,102.108977171279,"WWOX;DSCAML1;FGFR2","GO_Biological_Process_2023","turquoise"
"Podocyte Differentiation (GO:0072112)","2/11",0.0013218400851343,0.0449280316567746,0,0,45.1043083900227,298.984305122014,"MYO1E;MAGI2","GO_Biological_Process_2023","turquoise"
"Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911)","2/11",0.0013218400851343,0.0449280316567746,0,0,45.1043083900227,298.984305122014,"DLG1;CTNNA3","GO_Biological_Process_2023","turquoise"
"Positive Regulation Of Epithelial Cell Migration (GO:0010634)","4/95",0.00132224387153876,0.0449280316567746,0,0,9.07005494505495,60.1201797011037,"DOCK5;ENPP2;DOCK1;MAP4K4","GO_Biological_Process_2023","turquoise"
"Organic Hydroxy Compound Transport (GO:0015850)","3/45",0.00147778509269015,0.0449280316567746,0,0,14.6229749631811,95.3010113987768,"SLC44A1;SLCO1A2;SLC5A11","GO_Biological_Process_2023","turquoise"
"Regulation Of Cell Migration (GO:0030334)","8/434",0.00150510824278451,0.0449280316567746,0,0,3.97509695856297,25.8337197065552,"DOCK10;TJP1;FRMD5;DAAM2;MAGI2;ENPP2;PTPRK;MAP4K4","GO_Biological_Process_2023","turquoise"
"Organophosphate Catabolic Process (GO:0046434)","2/12",0.00158104510229119,0.0449280316567746,0,0,40.5918367346939,261.803918893847,"ENPP2;PLD1","GO_Biological_Process_2023","turquoise"
"Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770)","2/12",0.00158104510229119,0.0449280316567746,0,0,40.5918367346939,261.803918893847,"PTPRD;IL1RAPL1","GO_Biological_Process_2023","turquoise"
"Sodium-Independent Organic Anion Transport (GO:0043252)","2/13",0.00186242805035638,0.0508070372137219,0,0,36.899814471243,231.947593213754,"SLCO3A1;SLCO1A2","GO_Biological_Process_2023","turquoise"
"Regulation Of Epithelial Cell Migration (GO:0010632)","3/50",0.00200467613787586,0.0525841971550513,0,0,13.0640491335819,81.1574365484459,"DOCK5;ENPP2;DOCK1","GO_Biological_Process_2023","turquoise"
"Positive Regulation Of Wnt Signaling Pathway (GO:0030177)","4/109",0.00219090583353209,0.0553406584618107,0,0,7.85515873015873,48.1005947303534,"ZEB2;DAAM2;FGFR2;RNF220","GO_Biological_Process_2023","turquoise"
"Glycoprotein Metabolic Process (GO:0009100)","3/53",0.00237020480089914,0.0577314169361863,0,0,12.2783505154639,74.219914290735,"MAN2A1;PCSK6;ST6GALNAC3","GO_Biological_Process_2023","turquoise"
"Presynapse Assembly (GO:0099054)","2/15",0.00249083430520832,0.0585775515914508,0,0,31.2197802197802,187.166877082159,"PTPRD;IL1RAPL1","GO_Biological_Process_2023","turquoise"
"Positive Regulation Of Dendrite Morphogenesis (GO:0050775)","2/17",0.00320528834894988,0.0728668884661273,0,0,27.0544217687075,155.372278725068,"PTPRD;IL1RAPL1","GO_Biological_Process_2023","turquoise"
