"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_brown"
"AL669831.5","turquoise","turquoise",0.100519352814693,-0.171782633727719,0.0920627201068789,-0.0869645072533296,-0.0436917005435439
"NOC2L","blue","blue",-0.0449779238588806,0.240518320514745,-0.0403891010726854,0.119112917573477,0.0363002936968335
"HES4","grey","grey",-0.00720821284675727,0.118044636131424,-0.0322537645316625,0.155654449966718,0.0781478171551738
"ISG15","yellow","yellow",-0.017893142422177,0.0562365916985777,-0.0141848662369049,0.297379245664958,0.0859606183110776
"AGRN","grey","grey",0.0445115393048969,0.0070683873540375,-0.0116307637422886,0.0109996179385982,0.023441130731378
"C1orf159","turquoise","turquoise",0.0740446675221174,-0.123956099253699,0.0656998726693144,-0.0662341721450448,-0.0137671606095835
"SDF4","blue","blue",-0.0162450803330604,0.184776548527703,-0.0180653207072808,0.0970942579375823,0.0444645432363192
"UBE2J2","grey","grey",0.000320464538023135,0.0877766990635866,-0.0185932324099514,0.0685821925562916,0.0464115710676867
"ACAP3","grey","grey",0.0840486302100416,-0.0510242864770868,0.039493105648472,-0.034301010983848,-0.00704754960531134
"INTS11","blue","blue",0.00818689112790733,0.132226703615979,-0.0291605479770626,0.0844733880098102,0.0148097564877514
"DVL1","grey","grey",-0.0158432581262424,0.0996968694999358,-0.0191544300197176,0.0697183096141427,0.10564874854296
"AURKAIP1","blue","blue",-0.0712070379356529,0.274581302175116,-0.0967436857486645,0.271067270011255,0.108616857479727
"CCNL2","grey","grey",0.0550626799993955,0.0408529551206539,0.000607111037860739,0.0285886498861133,0.0153472588831367
"MRPL20","blue","blue",-0.0278200059105103,0.159071786690919,-0.0789383495636265,0.176602598383914,0.0876437180943399
"ANKRD65","grey","grey",0.0218698338263579,0.00701692355740622,-0.0635103263859526,0.0364832834945387,0.024702190936275
"VWA1","grey","grey",0.123099230642191,0.00730048970451704,-0.124916536049839,0.0323933573649752,0.00222445734284541
"ATAD3B","turquoise","turquoise",0.0746915420510733,-0.139491887763735,0.0745465415642459,-0.0774830396690211,-0.047369953504173
"ATAD3A","grey","grey",0.00475633542445626,0.0762689271688147,-0.00499685445189067,0.0608808245377566,0.0210927070421057
"SSU72","blue","blue",-0.0519338579289655,0.256372878109504,-0.0755329413964948,0.237755343326956,0.132392461516113
"MIB2","grey","grey",0.0323153102768035,0.0560305936971394,0.016977024783652,0.0435002111679861,0.0328501327890075
